撩妹,Date,DecryptedData
126,2016-05-06,4472
127,2016-05-07,4817
128,2016-05-08,4726
129,2016-05-09,4112
130,2016-05-10,4280
131,2016-05-11,3929
132,2016-05-12,4096
133,2016-05-13,4142
134,2016-05-14,5054
135,2016-05-15,4514
136,2016-05-16,3542
137,2016-05-17,3847
138,2016-05-18,4210
139,2016-05-19,4357
140,2016-05-20,4704
141,2016-05-21,4969
142,2016-05-22,5019
143,2016-05-23,3910
144,2016-05-24,3968
145,2016-05-25,4155
146,2016-05-26,4032
147,2016-05-27,3771
148,2016-05-28,5218
149,2016-05-29,4539
150,2016-05-30,3890
151,2016-05-31,3614
152,2016-06-01,3635
153,2016-06-02,3508
154,2016-06-03,3413
155,2016-06-04,3512
156,2016-06-05,3414
157,2016-06-06,3093
158,2016-06-07,2868
159,2016-06-08,2770
160,2016-06-09,3011
161,2016-06-10,3127
162,2016-06-11,3203
163,2016-06-12,2929
164,2016-06-13,2972
165,2016-06-14,2950
166,2016-06-15,3008
167,2016-06-16,2871
168,2016-06-17,2826
169,2016-06-18,2994
170,2016-06-19,3043
171,2016-06-20,2679
172,2016-06-21,2844
173,2016-06-22,2778
174,2016-06-23,2671
175,2016-06-24,2604
176,2016-06-25,2760
177,2016-06-26,2868
178,2016-06-27,2706
179,2016-06-28,2653
180,2016-06-29,2659
181,2016-06-30,2608
182,2016-07-01,2947
183,2016-07-02,3024
184,2016-07-03,3096
185,2016-07-04,2950
186,2016-07-05,2895
187,2016-07-06,2865
188,2016-07-07,2895
189,2016-07-08,2898
190,2016-07-09,2854
191,2016-07-10,2874
192,2016-07-11,2832
193,2016-07-12,2710
194,2016-07-13,2918
195,2016-07-14,3011
196,2016-07-15,2831
197,2016-07-16,2748
198,2016-07-17,2712
199,2016-07-18,2802
200,2016-07-19,2843
201,2016-07-20,2895
202,2016-07-21,2982
203,2016-07-22,3188
204,2016-07-23,3188
205,2016-07-24,3053
206,2016-07-25,2962
207,2016-07-26,3160
208,2016-07-27,3117
209,2016-07-28,2778
210,2016-07-29,2767
211,2016-07-30,2931
212,2016-07-31,2941
213,2016-08-01,2779
214,2016-08-02,2913
215,2016-08-03,2873
216,2016-08-04,2965
217,2016-08-05,2945
218,2016-08-06,2730
219,2016-08-07,2506
220,2016-08-08,2492
221,2016-08-09,2747
222,2016-08-10,2531
223,2016-08-11,2439
224,2016-08-12,2484
225,2016-08-13,2278
226,2016-08-14,2228
227,2016-08-15,2340
228,2016-08-16,2352
229,2016-08-17,2334
230,2016-08-18,2397
231,2016-08-19,2384
232,2016-08-20,2309
233,2016-08-21,2311
234,2016-08-22,2409
235,2016-08-23,2340
236,2016-08-24,2345
237,2016-08-25,2439
238,2016-08-26,2350
239,2016-08-27,2395
240,2016-08-28,2424
241,2016-08-29,2593
242,2016-08-30,2411
243,2016-08-31,2297
244,2016-09-01,2878
245,2016-09-02,3188
246,2016-09-03,2830
247,2016-09-04,2672
248,2016-09-05,2194
249,2016-09-06,2075
250,2016-09-07,2011
251,2016-09-08,1836
252,2016-09-09,1936
253,2016-09-10,2081
254,2016-09-11,1957
255,2016-09-12,1837
256,2016-09-13,1810
257,2016-09-14,1889
258,2016-09-15,2246
259,2016-09-16,2237
260,2016-09-17,1978
261,2016-09-18,1824
262,2016-09-19,1916
263,2016-09-20,1850
264,2016-09-21,1673
265,2016-09-22,1726
266,2016-09-23,1790
267,2016-09-24,2137
268,2016-09-25,2187
269,2016-09-26,2034
270,2016-09-27,2707
271,2016-09-28,2338
272,2016-09-29,2086
273,2016-09-30,1941
274,2016-10-01,2042
275,2016-10-02,2145
276,2016-10-03,2148
277,2016-10-04,2266
278,2016-10-05,2249
279,2016-10-06,2245
280,2016-10-07,2132
281,2016-10-08,1903
282,2016-10-09,1804
283,2016-10-10,1810
284,2016-10-11,1790
285,2016-10-12,1683
286,2016-10-13,1737
287,2016-10-14,1752
288,2016-10-15,2059
289,2016-10-16,1881
290,2016-10-17,1734
291,2016-10-18,1765
292,2016-10-19,1681
293,2016-10-20,1880
294,2016-10-21,1854
295,2016-10-22,2084
296,2016-10-23,2040
297,2016-10-24,1760
298,2016-10-25,1607
299,2016-10-26,1651
300,2016-10-27,1571
301,2016-10-28,1590
302,2016-10-29,1776
303,2016-10-30,1714
304,2016-10-31,1589
305,2016-11-01,1478
306,2016-11-02,1562
307,2016-11-03,1532
308,2016-11-04,1529
309,2016-11-05,2139
310,2016-11-06,1896
311,2016-11-07,1650
312,2016-11-08,1629
313,2016-11-09,1487
314,2016-11-10,1834
315,2016-11-11,1457
316,2016-11-12,1595
317,2016-11-13,1632
318,2016-11-14,1596
319,2016-11-15,1560
320,2016-11-16,1560
321,2016-11-17,1652
322,2016-11-18,1534
323,2016-11-19,1644
324,2016-11-20,1662
325,2016-11-21,1541
326,2016-11-22,1665
327,2016-11-23,1590
328,2016-11-24,1489
329,2016-11-25,1540
330,2016-11-26,1601
331,2016-11-27,1473
332,2016-11-28,1449
333,2016-11-29,1490
334,2016-11-30,1489
335,2016-12-01,1449
336,2016-12-02,1449
337,2016-12-03,1658
338,2016-12-04,1710
339,2016-12-05,1493
340,2016-12-06,1552
341,2016-12-07,1462
342,2016-12-08,1591
343,2016-12-09,1611
344,2016-12-10,1632
345,2016-12-11,1618
346,2016-12-12,1515
347,2016-12-13,1641
348,2016-12-14,1631
349,2016-12-15,1570
350,2016-12-16,1534
351,2016-12-17,1585
352,2016-12-18,1704
353,2016-12-19,1658
354,2016-12-20,1730
355,2016-12-21,1719
356,2016-12-22,1551
357,2016-12-23,1526
358,2016-12-24,1655
359,2016-12-25,1791
360,2016-12-26,1458
361,2016-12-27,1475
362,2016-12-28,1507
363,2016-12-29,1540
364,2016-12-30,1559
365,2016-12-31,1656
