杠精,Date,DecryptedData
108,2018-04-19,2215
109,2018-04-20,2267
110,2018-04-21,2124
111,2018-04-22,2074
112,2018-04-23,2729
113,2018-04-24,3797
114,2018-04-25,2854
115,2018-04-26,2458
116,2018-04-27,2433
117,2018-04-28,2684
118,2018-04-29,1946
119,2018-04-30,2055
120,2018-05-01,2290
121,2018-05-02,2393
122,2018-05-03,2282
123,2018-05-04,2053
124,2018-05-05,2055
125,2018-05-06,2715
126,2018-05-07,2597
127,2018-05-08,2434
128,2018-05-09,2519
129,2018-05-10,2681
130,2018-05-11,2621
131,2018-05-12,2354
132,2018-05-13,3007
133,2018-05-14,2874
134,2018-05-15,3522
135,2018-05-16,3280
136,2018-05-17,3175
137,2018-05-18,3226
138,2018-05-19,2923
139,2018-05-20,3783
140,2018-05-21,3479
141,2018-05-22,3048
142,2018-05-23,2981
143,2018-05-24,2979
144,2018-05-25,2617
145,2018-05-26,2438
146,2018-05-27,2445
147,2018-05-28,2713
148,2018-05-29,2535
149,2018-05-30,2862
150,2018-05-31,2759
151,2018-06-01,2313
152,2018-06-02,2144
153,2018-06-03,2855
154,2018-06-04,2689
155,2018-06-05,2599
156,2018-06-06,2708
157,2018-06-07,2620
158,2018-06-08,2603
159,2018-06-09,2393
160,2018-06-10,2147
161,2018-06-11,2396
162,2018-06-12,2431
163,2018-06-13,2526
164,2018-06-14,2604
165,2018-06-15,2395
166,2018-06-16,1861
167,2018-06-17,1929
168,2018-06-18,1971
169,2018-06-19,2240
170,2018-06-20,2294
171,2018-06-21,2416
172,2018-06-22,2177
173,2018-06-23,1902
174,2018-06-24,2079
175,2018-06-25,2429
176,2018-06-26,2320
177,2018-06-27,2467
178,2018-06-28,2456
179,2018-06-29,2467
180,2018-06-30,2114
181,2018-07-01,2037
182,2018-07-02,2256
183,2018-07-03,2155
184,2018-07-04,2237
185,2018-07-05,2267
186,2018-07-06,2235
187,2018-07-07,1968
188,2018-07-08,1936
189,2018-07-09,2192
190,2018-07-10,2075
191,2018-07-11,2394
192,2018-07-12,2402
193,2018-07-13,2537
194,2018-07-14,2002
195,2018-07-15,1876
196,2018-07-16,2340
197,2018-07-17,2420
198,2018-07-18,2495
199,2018-07-19,2510
200,2018-07-20,2508
201,2018-07-21,2294
202,2018-07-22,2324
203,2018-07-23,2832
204,2018-07-24,2650
205,2018-07-25,2576
206,2018-07-26,2574
207,2018-07-27,2416
208,2018-07-28,1827
209,2018-07-29,2173
210,2018-07-30,2315
211,2018-07-31,2337
212,2018-08-01,2415
213,2018-08-02,4260
214,2018-08-03,3352
215,2018-08-04,3300
216,2018-08-05,2686
217,2018-08-06,2932
218,2018-08-07,3648
219,2018-08-08,2898
220,2018-08-09,2727
221,2018-08-10,2922
222,2018-08-11,2235
223,2018-08-12,2261
224,2018-08-13,2490
225,2018-08-14,2459
226,2018-08-15,2357
227,2018-08-16,2288
228,2018-08-17,2142
229,2018-08-18,1870
230,2018-08-19,2307
231,2018-08-20,2304
232,2018-08-21,2314
233,2018-08-22,2119
234,2018-08-23,1827
235,2018-08-24,1837
236,2018-08-25,2043
237,2018-08-26,2080
238,2018-08-27,2383
239,2018-08-28,2216
240,2018-08-29,2363
241,2018-08-30,2159
242,2018-08-31,1732
243,2018-09-01,1636
244,2018-09-02,1445
245,2018-09-03,1662
246,2018-09-04,1665
247,2018-09-05,1678
248,2018-09-06,1673
249,2018-09-07,1561
250,2018-09-08,1567
251,2018-09-09,1430
252,2018-09-10,1472
253,2018-09-11,1691
254,2018-09-12,1567
255,2018-09-13,1783
256,2018-09-14,1837
257,2018-09-15,1588
258,2018-09-16,1798
259,2018-09-17,1692
260,2018-09-18,1844
261,2018-09-19,1790
262,2018-09-20,1858
263,2018-09-21,1763
264,2018-09-22,1635
265,2018-09-23,1709
266,2018-09-24,1690
267,2018-09-25,1668
268,2018-09-26,1746
269,2018-09-27,1811
270,2018-09-28,1729
271,2018-09-29,1744
272,2018-09-30,1705
273,2018-10-01,1581
274,2018-10-02,1920
275,2018-10-03,1797
276,2018-10-04,1833
277,2018-10-05,1869
278,2018-10-06,1779
279,2018-10-07,1672
280,2018-10-08,1685
281,2018-10-09,1718
282,2018-10-10,1801
283,2018-10-11,1738
284,2018-10-12,1604
285,2018-10-13,1577
286,2018-10-14,1609
287,2018-10-15,1612
288,2018-10-16,1502
289,2018-10-17,1472
290,2018-10-18,1638
291,2018-10-19,1674
292,2018-10-20,1546
293,2018-10-21,1627
294,2018-10-22,1689
295,2018-10-23,1674
296,2018-10-24,1784
297,2018-10-25,1758
298,2018-10-26,1710
299,2018-10-27,1277
300,2018-10-28,1392
301,2018-10-29,2082
302,2018-10-30,1937
303,2018-10-31,1697
304,2018-11-01,1671
305,2018-11-02,1778
306,2018-11-03,1733
307,2018-11-04,1799
308,2018-11-05,1695
309,2018-11-06,1649
310,2018-11-07,2060
311,2018-11-08,1951
312,2018-11-09,1617
313,2018-11-10,1388
314,2018-11-11,1386
315,2018-11-12,1635
316,2018-11-13,1996
317,2018-11-14,1900
318,2018-11-15,1820
319,2018-11-16,1796
320,2018-11-17,1803
321,2018-11-18,2035
322,2018-11-19,2112
323,2018-11-20,2080
324,2018-11-21,2158
325,2018-11-22,2021
326,2018-11-23,2047
327,2018-11-24,1690
328,2018-11-25,1772
329,2018-11-26,1899
330,2018-11-27,1937
331,2018-11-28,1584
332,2018-11-29,1841
333,2018-11-30,1820
334,2018-12-01,1568
335,2018-12-02,1707
336,2018-12-03,3290
337,2018-12-04,5032
338,2018-12-05,3375
339,2018-12-06,2939
340,2018-12-07,2354
341,2018-12-08,2079
342,2018-12-09,2303
343,2018-12-10,2650
344,2018-12-11,2696
345,2018-12-12,2252
346,2018-12-13,2383
347,2018-12-14,2183
348,2018-12-15,2046
349,2018-12-16,2089
350,2018-12-17,2199
351,2018-12-18,2053
352,2018-12-19,2657
353,2018-12-20,5639
354,2018-12-21,3836
355,2018-12-22,2659
356,2018-12-23,2351
357,2018-12-24,2566
358,2018-12-25,2520
359,2018-12-26,2478
360,2018-12-27,2391
361,2018-12-28,2104
362,2018-12-29,1987
363,2018-12-30,1831
364,2018-12-31,2018
