逆行者,Date,DecryptedData
161,2020-06-10,1353
162,2020-06-11,1290
163,2020-06-12,1242
164,2020-06-13,1235
165,2020-06-14,1681
166,2020-06-15,1281
167,2020-06-16,1331
168,2020-06-17,1373
169,2020-06-18,1294
170,2020-06-19,1251
171,2020-06-20,1273
172,2020-06-21,1651
173,2020-06-22,1297
174,2020-06-23,1299
175,2020-06-24,1169
176,2020-06-25,1139
177,2020-06-26,1243
178,2020-06-27,1358
179,2020-06-28,1247
180,2020-06-29,1257
181,2020-06-30,1269
182,2020-07-01,1647
183,2020-07-02,1224
184,2020-07-03,1156
185,2020-07-04,1179
186,2020-07-05,1222
187,2020-07-06,1508
188,2020-07-07,1332
189,2020-07-08,1190
190,2020-07-09,1203
191,2020-07-10,1090
192,2020-07-11,1077
193,2020-07-12,1115
194,2020-07-13,1152
195,2020-07-14,1135
196,2020-07-15,1073
197,2020-07-16,1096
198,2020-07-17,1051
199,2020-07-18,917
200,2020-07-19,1051
201,2020-07-20,1108
202,2020-07-21,892
203,2020-07-22,885
204,2020-07-23,909
205,2020-07-24,941
206,2020-07-25,789
207,2020-07-26,774
208,2020-07-27,795
209,2020-07-28,892
210,2020-07-29,930
211,2020-07-30,884
212,2020-07-31,878
213,2020-08-01,810
214,2020-08-02,779
215,2020-08-03,789
216,2020-08-04,796
217,2020-08-05,811
218,2020-08-06,855
219,2020-08-07,1118
220,2020-08-08,920
221,2020-08-09,920
222,2020-08-10,1070
223,2020-08-11,1118
224,2020-08-12,1150
225,2020-08-13,1187
226,2020-08-14,1139
227,2020-08-15,1097
228,2020-08-16,1108
229,2020-08-17,1139
230,2020-08-18,1189
231,2020-08-19,1243
232,2020-08-20,1181
233,2020-08-21,1139
234,2020-08-22,1068
235,2020-08-23,1075
236,2020-08-24,1045
237,2020-08-25,1056
238,2020-08-26,1045
239,2020-08-27,1069
240,2020-08-28,1087
241,2020-08-29,1069
242,2020-08-30,1137
243,2020-08-31,1075
244,2020-09-01,1136
245,2020-09-02,1083
246,2020-09-03,1043
247,2020-09-04,925
248,2020-09-05,1056
249,2020-09-06,1117
250,2020-09-07,909
251,2020-09-08,1135
252,2020-09-09,1065
253,2020-09-10,996
254,2020-09-11,910
255,2020-09-12,1030
256,2020-09-13,1120
257,2020-09-14,1120
258,2020-09-15,1232
259,2020-09-16,1248
260,2020-09-17,2809
261,2020-09-18,5034
262,2020-09-19,4617
263,2020-09-20,4543
264,2020-09-21,3840
265,2020-09-22,3327
266,2020-09-23,2698
267,2020-09-24,2171
268,2020-09-25,1981
269,2020-09-26,1982
270,2020-09-27,1714
271,2020-09-28,1514
272,2020-09-29,2070
273,2020-09-30,3089
274,2020-10-01,2906
275,2020-10-02,2604
276,2020-10-03,2348
277,2020-10-04,2136
278,2020-10-05,1840
279,2020-10-06,1774
280,2020-10-07,1757
281,2020-10-08,1974
282,2020-10-09,1523
283,2020-10-10,1357
284,2020-10-11,1417
285,2020-10-12,1282
286,2020-10-13,1249
287,2020-10-14,1227
288,2020-10-15,1240
289,2020-10-16,1162
290,2020-10-17,1143
291,2020-10-18,1313
292,2020-10-19,1215
293,2020-10-20,1148
294,2020-10-21,1113
295,2020-10-22,1173
296,2020-10-23,1152
297,2020-10-24,1129
298,2020-10-25,1188
299,2020-10-26,1085
300,2020-10-27,1059
301,2020-10-28,1033
302,2020-10-29,1088
303,2020-10-30,1060
304,2020-10-31,1049
305,2020-11-01,1126
306,2020-11-02,904
307,2020-11-03,996
308,2020-11-04,971
309,2020-11-05,949
310,2020-11-06,943
311,2020-11-07,1001
312,2020-11-08,1107
313,2020-11-09,1089
314,2020-11-10,1063
315,2020-11-11,1061
316,2020-11-12,1051
317,2020-11-13,913
318,2020-11-14,1034
319,2020-11-15,1262
320,2020-11-16,1108
321,2020-11-17,1097
322,2020-11-18,1083
323,2020-11-19,1093
324,2020-11-20,965
325,2020-11-21,1069
326,2020-11-22,1132
327,2020-11-23,1101
328,2020-11-24,1101
329,2020-11-25,1162
330,2020-11-26,1050
331,2020-11-27,1042
332,2020-11-28,1048
333,2020-11-29,1146
334,2020-11-30,1020
335,2020-12-01,1012
336,2020-12-02,1097
337,2020-12-03,1123
338,2020-12-04,1169
339,2020-12-05,1227
340,2020-12-06,1245
341,2020-12-07,1177
342,2020-12-08,1240
343,2020-12-09,1216
344,2020-12-10,1148
345,2020-12-11,1145
346,2020-12-12,1138
347,2020-12-13,1191
348,2020-12-14,1221
349,2020-12-15,1247
350,2020-12-16,1183
351,2020-12-17,1206
352,2020-12-18,1209
353,2020-12-19,1153
354,2020-12-20,1206
355,2020-12-21,1144
356,2020-12-22,1277
357,2020-12-23,1198
358,2020-12-24,1205
359,2020-12-25,1126
360,2020-12-26,1089
361,2020-12-27,1227
362,2020-12-28,1246
363,2020-12-29,1265
364,2020-12-30,1190
365,2020-12-31,1287
