何弃疗,Date,DecryptedData
210,2013-07-30,930
211,2013-07-31,883
212,2013-08-01,1101
213,2013-08-02,1415
214,2013-08-03,1168
215,2013-08-04,848
216,2013-08-05,1038
217,2013-08-06,938
218,2013-08-07,1286
219,2013-08-08,1361
220,2013-08-09,1511
221,2013-08-10,1799
222,2013-08-11,1283
223,2013-08-12,1351
224,2013-08-13,1338
225,2013-08-14,1275
226,2013-08-15,1433
227,2013-08-16,1403
228,2013-08-17,1360
229,2013-08-18,1492
230,2013-08-19,1599
231,2013-08-20,1505
232,2013-08-21,1532
233,2013-08-22,1475
234,2013-08-23,1393
235,2013-08-24,1545
236,2013-08-25,1471
237,2013-08-26,1638
238,2013-08-27,1771
239,2013-08-28,1647
240,2013-08-29,1600
241,2013-08-30,1704
242,2013-08-31,1765
243,2013-09-01,1875
244,2013-09-02,1874
245,2013-09-03,1795
246,2013-09-04,1859
247,2013-09-05,1830
248,2013-09-06,1815
249,2013-09-07,1773
250,2013-09-08,1776
251,2013-09-09,1732
252,2013-09-10,3011
253,2013-09-11,2688
254,2013-09-12,2099
255,2013-09-13,1878
256,2013-09-14,1854
257,2013-09-15,1857
258,2013-09-16,1845
259,2013-09-17,1847
260,2013-09-18,1834
261,2013-09-19,1845
262,2013-09-20,1802
263,2013-09-21,1814
264,2013-09-22,1767
265,2013-09-23,1757
266,2013-09-24,1745
267,2013-09-25,1749
268,2013-09-26,1735
269,2013-09-27,1633
270,2013-09-28,1638
271,2013-09-29,1603
272,2013-09-30,1650
273,2013-10-01,1650
274,2013-10-02,1667
275,2013-10-03,1732
276,2013-10-04,1731
277,2013-10-05,1731
278,2013-10-06,1691
279,2013-10-07,1700
280,2013-10-08,1534
281,2013-10-09,1618
282,2013-10-10,1647
283,2013-10-11,1596
284,2013-10-12,1614
285,2013-10-13,1728
286,2013-10-14,1724
287,2013-10-15,1692
288,2013-10-16,1610
289,2013-10-17,1514
290,2013-10-18,1415
291,2013-10-19,1533
292,2013-10-20,1511
293,2013-10-21,1418
294,2013-10-22,1382
295,2013-10-23,1303
296,2013-10-24,1300
297,2013-10-25,1364
298,2013-10-26,1593
299,2013-10-27,1813
300,2013-10-28,1731
301,2013-10-29,1700
302,2013-10-30,1700
303,2013-10-31,1705
304,2013-11-01,1608
305,2013-11-02,1473
306,2013-11-03,1391
307,2013-11-04,1384
308,2013-11-05,1540
309,2013-11-06,1372
310,2013-11-07,1383
311,2013-11-08,1262
312,2013-11-09,1512
313,2013-11-10,1285
314,2013-11-11,1147
315,2013-11-12,1237
316,2013-11-13,1189
317,2013-11-14,1211
318,2013-11-15,1112
319,2013-11-16,1199
320,2013-11-17,1477
321,2013-11-18,1483
322,2013-11-19,1508
323,2013-11-20,1422
324,2013-11-21,1356
325,2013-11-22,1264
326,2013-11-23,1230
327,2013-11-24,1319
328,2013-11-25,1341
329,2013-11-26,1558
330,2013-11-27,1388
331,2013-11-28,1305
332,2013-11-29,1113
333,2013-11-30,1038
334,2013-12-01,1040
335,2013-12-02,1394
336,2013-12-03,1211
337,2013-12-04,1697
338,2013-12-05,1256
339,2013-12-06,1691
340,2013-12-07,1685
341,2013-12-08,1768
342,2013-12-09,1551
343,2013-12-10,1543
344,2013-12-11,1472
345,2013-12-12,1624
346,2013-12-13,1690
347,2013-12-14,1826
348,2013-12-15,2982
349,2013-12-16,1813
350,2013-12-17,1717
351,2013-12-18,1635
352,2013-12-19,1613
353,2013-12-20,1647
354,2013-12-21,1300
355,2013-12-22,1371
356,2013-12-23,1409
357,2013-12-24,1522
358,2013-12-25,1359
359,2013-12-26,1478
360,2013-12-27,1315
361,2013-12-28,1237
362,2013-12-29,1234
363,2013-12-30,1585
364,2013-12-31,1683
