c位出道,Date,DecryptedData
112,2018-04-23,1082
113,2018-04-24,1152
114,2018-04-25,1321
115,2018-04-26,1180
116,2018-04-27,1148
117,2018-04-28,1094
118,2018-04-29,1050
119,2018-04-30,1031
120,2018-05-01,1045
121,2018-05-02,1102
122,2018-05-03,967
123,2018-05-04,1417
124,2018-05-05,2592
125,2018-05-06,3158
126,2018-05-07,2146
127,2018-05-08,1687
128,2018-05-09,1844
129,2018-05-10,1682
130,2018-05-11,1589
131,2018-05-12,1369
132,2018-05-13,1598
133,2018-05-14,1657
134,2018-05-15,1580
135,2018-05-16,1886
136,2018-05-17,1732
137,2018-05-18,1564
138,2018-05-19,1545
139,2018-05-20,1718
140,2018-05-21,1574
141,2018-05-22,1502
142,2018-05-23,1615
143,2018-05-24,1697
144,2018-05-25,2013
145,2018-05-26,1645
146,2018-05-27,1676
147,2018-05-28,1709
148,2018-05-29,1874
149,2018-05-30,2386
150,2018-05-31,2631
151,2018-06-01,2311
152,2018-06-02,2164
153,2018-06-03,2367
154,2018-06-04,2115
155,2018-06-05,2370
156,2018-06-06,2392
157,2018-06-07,2720
158,2018-06-08,2682
159,2018-06-09,2317
160,2018-06-10,2851
161,2018-06-11,3015
162,2018-06-12,2656
163,2018-06-13,2504
164,2018-06-14,2635
165,2018-06-15,2304
166,2018-06-16,2265
167,2018-06-17,2235
168,2018-06-18,1741
169,2018-06-19,1803
170,2018-06-20,2289
171,2018-06-21,2557
172,2018-06-22,3268
173,2018-06-23,7999
174,2018-06-24,19766
175,2018-06-25,10299
176,2018-06-26,7280
177,2018-06-27,5635
178,2018-06-28,5783
179,2018-06-29,5657
180,2018-06-30,8769
181,2018-07-01,4942
182,2018-07-02,4016
183,2018-07-03,4259
184,2018-07-04,5080
185,2018-07-05,4817
186,2018-07-06,4589
187,2018-07-07,3915
188,2018-07-08,3808
189,2018-07-09,3835
190,2018-07-10,3743
191,2018-07-11,4004
192,2018-07-12,4156
193,2018-07-13,4947
194,2018-07-14,3868
195,2018-07-15,3608
196,2018-07-16,3512
197,2018-07-17,4111
198,2018-07-18,3871
199,2018-07-19,3991
200,2018-07-20,4488
201,2018-07-21,4830
202,2018-07-22,3543
203,2018-07-23,3678
204,2018-07-24,3262
205,2018-07-25,3368
206,2018-07-26,3667
207,2018-07-27,3680
208,2018-07-28,3539
209,2018-07-29,3450
210,2018-07-30,3186
211,2018-07-31,2776
212,2018-08-01,2758
213,2018-08-02,2916
214,2018-08-03,2651
215,2018-08-04,2457
216,2018-08-05,2250
217,2018-08-06,2154
218,2018-08-07,2031
219,2018-08-08,2232
220,2018-08-09,5122
221,2018-08-10,4666
222,2018-08-11,3322
223,2018-08-12,2515
224,2018-08-13,2852
225,2018-08-14,2729
226,2018-08-15,2553
227,2018-08-16,2490
228,2018-08-17,2706
229,2018-08-18,2130
230,2018-08-19,2398
231,2018-08-20,2678
232,2018-08-21,2823
233,2018-08-22,2755
234,2018-08-23,2650
235,2018-08-24,2214
236,2018-08-25,968
237,2018-08-26,860
238,2018-08-27,949
239,2018-08-28,1023
240,2018-08-29,1100
241,2018-08-30,1174
242,2018-08-31,1300
243,2018-09-01,922
244,2018-09-02,1214
245,2018-09-03,1226
246,2018-09-04,1063
247,2018-09-05,919
248,2018-09-06,888
249,2018-09-07,1039
250,2018-09-08,1105
251,2018-09-09,1054
252,2018-09-10,1127
253,2018-09-11,1006
254,2018-09-12,856
255,2018-09-13,996
256,2018-09-14,891
257,2018-09-15,808
258,2018-09-16,805
259,2018-09-17,837
260,2018-09-18,920
261,2018-09-19,777
262,2018-09-20,897
263,2018-09-21,895
264,2018-09-22,910
265,2018-09-23,1089
266,2018-09-24,791
267,2018-09-25,926
268,2018-09-26,855
269,2018-09-27,827
270,2018-09-28,859
271,2018-09-29,900
272,2018-09-30,852
273,2018-10-01,761
274,2018-10-02,637
275,2018-10-03,592
276,2018-10-04,586
277,2018-10-05,595
278,2018-10-06,612
279,2018-10-07,1077
280,2018-10-08,1136
281,2018-10-09,862
282,2018-10-10,708
283,2018-10-11,827
284,2018-10-12,831
285,2018-10-13,880
286,2018-10-14,864
287,2018-10-15,807
288,2018-10-16,730
289,2018-10-17,942
290,2018-10-18,1085
291,2018-10-19,1157
292,2018-10-20,1021
293,2018-10-21,1052
294,2018-10-22,1067
295,2018-10-23,1079
296,2018-10-24,1398
297,2018-10-25,1199
298,2018-10-26,999
299,2018-10-27,667
300,2018-10-28,915
301,2018-10-29,1105
302,2018-10-30,1073
303,2018-10-31,1072
304,2018-11-01,1083
305,2018-11-02,1080
306,2018-11-03,932
307,2018-11-04,735
308,2018-11-05,741
309,2018-11-06,705
310,2018-11-07,937
311,2018-11-08,775
312,2018-11-09,809
313,2018-11-10,670
314,2018-11-11,599
315,2018-11-12,761
316,2018-11-13,681
317,2018-11-14,677
318,2018-11-15,695
319,2018-11-16,689
320,2018-11-17,908
321,2018-11-18,654
322,2018-11-19,706
323,2018-11-20,645
324,2018-11-21,663
325,2018-11-22,653
326,2018-11-23,745
327,2018-11-24,564
328,2018-11-25,591
329,2018-11-26,688
330,2018-11-27,638
331,2018-11-28,673
332,2018-11-29,630
333,2018-11-30,647
334,2018-12-01,489
335,2018-12-02,496
336,2018-12-03,695
337,2018-12-04,1158
338,2018-12-05,608
339,2018-12-06,671
340,2018-12-07,581
341,2018-12-08,636
342,2018-12-09,541
343,2018-12-10,828
344,2018-12-11,593
345,2018-12-12,577
346,2018-12-13,1012
347,2018-12-14,1377
348,2018-12-15,689
349,2018-12-16,612
350,2018-12-17,639
351,2018-12-18,718
352,2018-12-19,787
353,2018-12-20,854
354,2018-12-21,874
355,2018-12-22,1117
356,2018-12-23,758
357,2018-12-24,825
358,2018-12-25,865
359,2018-12-26,875
360,2018-12-27,1185
361,2018-12-28,911
362,2018-12-29,1019
363,2018-12-30,1109
364,2018-12-31,1051
