厉害了我的哥,Date,DecryptedData
192,2016-07-11,155
193,2016-07-12,163
194,2016-07-13,145
195,2016-07-14,161
196,2016-07-15,150
197,2016-07-16,174
198,2016-07-17,163
199,2016-07-18,157
200,2016-07-19,164
201,2016-07-20,178
202,2016-07-21,184
203,2016-07-22,160
204,2016-07-23,174
205,2016-07-24,171
206,2016-07-25,182
207,2016-07-26,190
208,2016-07-27,177
209,2016-07-28,179
210,2016-07-29,179
211,2016-07-30,155
212,2016-07-31,168
213,2016-08-01,208
214,2016-08-02,200
215,2016-08-03,224
216,2016-08-04,221
217,2016-08-05,224
218,2016-08-06,177
219,2016-08-07,194
220,2016-08-08,209
221,2016-08-09,245
222,2016-08-10,230
223,2016-08-11,249
224,2016-08-12,260
225,2016-08-13,269
226,2016-08-14,296
227,2016-08-15,345
228,2016-08-16,341
229,2016-08-17,325
230,2016-08-18,336
231,2016-08-19,343
232,2016-08-20,340
233,2016-08-21,363
234,2016-08-22,407
235,2016-08-23,457
236,2016-08-24,445
237,2016-08-25,517
238,2016-08-26,600
239,2016-08-27,529
240,2016-08-28,607
241,2016-08-29,785
242,2016-08-30,1291
243,2016-08-31,1253
244,2016-09-01,1040
245,2016-09-02,1354
246,2016-09-03,1386
247,2016-09-04,1460
248,2016-09-05,1587
249,2016-09-06,2348
250,2016-09-07,2324
251,2016-09-08,2093
252,2016-09-09,2213
253,2016-09-10,2800
254,2016-09-11,3266
255,2016-09-12,4040
256,2016-09-13,5208
257,2016-09-14,6094
258,2016-09-15,6889
259,2016-09-16,8571
260,2016-09-17,8471
261,2016-09-18,9620
262,2016-09-19,11276
263,2016-09-20,10545
264,2016-09-21,11358
265,2016-09-22,11317
266,2016-09-23,15386
267,2016-09-24,16403
268,2016-09-25,15857
269,2016-09-26,15796
270,2016-09-27,13280
271,2016-09-28,13287
272,2016-09-29,13226
273,2016-09-30,16029
274,2016-10-01,13649
275,2016-10-02,13300
276,2016-10-03,12785
277,2016-10-04,12942
278,2016-10-05,11998
279,2016-10-06,11345
280,2016-10-07,11317
281,2016-10-08,10428
282,2016-10-09,9808
283,2016-10-10,9257
284,2016-10-11,9674
285,2016-10-12,9424
286,2016-10-13,9260
287,2016-10-14,8107
288,2016-10-15,7355
289,2016-10-16,6964
290,2016-10-17,7484
291,2016-10-18,6500
292,2016-10-19,6598
293,2016-10-20,6267
294,2016-10-21,6190
295,2016-10-22,7069
296,2016-10-23,6107
297,2016-10-24,5621
298,2016-10-25,5337
299,2016-10-26,5386
300,2016-10-27,5279
301,2016-10-28,4871
302,2016-10-29,4531
303,2016-10-30,4776
304,2016-10-31,4308
305,2016-11-01,3914
306,2016-11-02,3922
307,2016-11-03,4106
308,2016-11-04,4643
309,2016-11-05,4370
310,2016-11-06,4203
311,2016-11-07,3899
312,2016-11-08,3795
313,2016-11-09,3660
314,2016-11-10,3429
315,2016-11-11,3241
316,2016-11-12,3515
317,2016-11-13,3378
318,2016-11-14,3075
319,2016-11-15,2797
320,2016-11-16,2708
321,2016-11-17,2655
322,2016-11-18,2719
323,2016-11-19,2926
324,2016-11-20,2792
325,2016-11-21,2541
326,2016-11-22,2501
327,2016-11-23,2650
328,2016-11-24,2587
329,2016-11-25,2491
330,2016-11-26,2516
331,2016-11-27,2470
332,2016-11-28,2322
333,2016-11-29,2176
334,2016-11-30,2185
335,2016-12-01,2300
336,2016-12-02,2363
337,2016-12-03,2361
338,2016-12-04,2417
339,2016-12-05,2343
340,2016-12-06,2387
341,2016-12-07,2254
342,2016-12-08,2206
343,2016-12-09,2250
344,2016-12-10,2194
345,2016-12-11,2075
346,2016-12-12,2107
347,2016-12-13,2084
348,2016-12-14,1995
349,2016-12-15,2044
350,2016-12-16,1916
351,2016-12-17,1783
352,2016-12-18,1687
353,2016-12-19,1794
354,2016-12-20,2060
355,2016-12-21,2361
356,2016-12-22,2196
357,2016-12-23,1976
358,2016-12-24,1708
359,2016-12-25,1760
360,2016-12-26,1824
361,2016-12-27,1803
362,2016-12-28,1843
363,2016-12-29,1837
364,2016-12-30,1724
365,2016-12-31,1634
