盘他,Date,DecryptedData
154,2019-06-04,1373
155,2019-06-05,1414
156,2019-06-06,1413
157,2019-06-07,1206
158,2019-06-08,1191
159,2019-06-09,1239
160,2019-06-10,1423
161,2019-06-11,1405
162,2019-06-12,1453
163,2019-06-13,1403
164,2019-06-14,1440
165,2019-06-15,1337
166,2019-06-16,1261
167,2019-06-17,1390
168,2019-06-18,1277
169,2019-06-19,1345
170,2019-06-20,1355
171,2019-06-21,1327
172,2019-06-22,1190
173,2019-06-23,1169
174,2019-06-24,1337
175,2019-06-25,1346
176,2019-06-26,1315
177,2019-06-27,1250
178,2019-06-28,1172
179,2019-06-29,1105
180,2019-06-30,1110
181,2019-07-01,1143
182,2019-07-02,1182
183,2019-07-03,1200
184,2019-07-04,1198
185,2019-07-05,1206
186,2019-07-06,1042
187,2019-07-07,982
188,2019-07-08,1178
189,2019-07-09,1101
190,2019-07-10,1097
191,2019-07-11,1161
192,2019-07-12,1175
193,2019-07-13,1058
194,2019-07-14,1000
195,2019-07-15,1108
196,2019-07-16,1129
197,2019-07-17,1103
198,2019-07-18,1102
199,2019-07-19,1184
200,2019-07-20,1046
201,2019-07-21,957
202,2019-07-22,1174
203,2019-07-23,1096
204,2019-07-24,1095
205,2019-07-25,1193
206,2019-07-26,1128
207,2019-07-27,989
208,2019-07-28,1069
209,2019-07-29,1091
210,2019-07-30,1100
211,2019-07-31,1175
212,2019-08-01,1160
213,2019-08-02,1040
214,2019-08-03,991
215,2019-08-04,979
216,2019-08-05,1085
217,2019-08-06,1055
218,2019-08-07,982
219,2019-08-08,954
220,2019-08-09,1097
221,2019-08-10,955
222,2019-08-11,954
223,2019-08-12,1075
224,2019-08-13,1103
225,2019-08-14,1081
226,2019-08-15,1088
227,2019-08-16,1063
228,2019-08-17,949
229,2019-08-18,918
230,2019-08-19,1157
231,2019-08-20,1048
232,2019-08-21,1029
233,2019-08-22,1112
234,2019-08-23,1121
235,2019-08-24,946
236,2019-08-25,937
237,2019-08-26,901
238,2019-08-27,955
239,2019-08-28,946
240,2019-08-29,1044
241,2019-08-30,1013
242,2019-08-31,971
243,2019-09-01,1042
244,2019-09-02,966
245,2019-09-03,1023
246,2019-09-04,946
247,2019-09-05,939
248,2019-09-06,917
249,2019-09-07,904
250,2019-09-08,860
251,2019-09-09,873
252,2019-09-10,864
253,2019-09-11,791
254,2019-09-12,864
255,2019-09-13,871
256,2019-09-14,773
257,2019-09-15,846
258,2019-09-16,814
259,2019-09-17,801
260,2019-09-18,813
261,2019-09-19,834
262,2019-09-20,792
263,2019-09-21,834
264,2019-09-22,765
265,2019-09-23,746
266,2019-09-24,786
267,2019-09-25,812
268,2019-09-26,726
269,2019-09-27,744
270,2019-09-28,737
271,2019-09-29,774
272,2019-09-30,667
273,2019-10-01,541
274,2019-10-02,618
275,2019-10-03,692
276,2019-10-04,661
277,2019-10-05,704
278,2019-10-06,685
279,2019-10-07,688
280,2019-10-08,820
281,2019-10-09,748
282,2019-10-10,697
283,2019-10-11,839
284,2019-10-12,722
285,2019-10-13,731
286,2019-10-14,740
287,2019-10-15,714
288,2019-10-16,713
289,2019-10-17,671
290,2019-10-18,696
291,2019-10-19,722
292,2019-10-20,691
293,2019-10-21,664
294,2019-10-22,730
295,2019-10-23,740
296,2019-10-24,697
297,2019-10-25,739
298,2019-10-26,721
299,2019-10-27,708
300,2019-10-28,718
301,2019-10-29,724
302,2019-10-30,754
303,2019-10-31,739
304,2019-11-01,748
305,2019-11-02,685
306,2019-11-03,693
307,2019-11-04,705
308,2019-11-05,717
309,2019-11-06,724
310,2019-11-07,691
311,2019-11-08,734
312,2019-11-09,664
313,2019-11-10,668
314,2019-11-11,684
315,2019-11-12,720
316,2019-11-13,730
317,2019-11-14,701
318,2019-11-15,680
319,2019-11-16,657
320,2019-11-17,656
321,2019-11-18,652
322,2019-11-19,694
323,2019-11-20,678
324,2019-11-21,666
325,2019-11-22,687
326,2019-11-23,615
327,2019-11-24,671
328,2019-11-25,720
329,2019-11-26,706
330,2019-11-27,707
331,2019-11-28,699
332,2019-11-29,823
333,2019-11-30,752
334,2019-12-01,699
335,2019-12-02,766
336,2019-12-03,833
337,2019-12-04,855
338,2019-12-05,949
339,2019-12-06,883
340,2019-12-07,842
341,2019-12-08,935
342,2019-12-09,898
343,2019-12-10,1216
344,2019-12-11,1619
345,2019-12-12,1279
346,2019-12-13,1257
347,2019-12-14,1121
348,2019-12-15,1108
349,2019-12-16,1305
350,2019-12-17,1339
351,2019-12-18,1669
352,2019-12-19,1232
353,2019-12-20,1204
354,2019-12-21,1174
355,2019-12-22,1181
356,2019-12-23,1241
357,2019-12-24,1271
358,2019-12-25,1177
359,2019-12-26,1258
360,2019-12-27,1212
361,2019-12-28,1030
362,2019-12-29,1035
363,2019-12-30,1165
364,2019-12-31,1274
