豪横,Date,DecryptedData
216,2020-08-04,1112
217,2020-08-05,1046
218,2020-08-06,1111
219,2020-08-07,1104
220,2020-08-08,970
221,2020-08-09,1006
222,2020-08-10,1102
223,2020-08-11,1130
224,2020-08-12,1124
225,2020-08-13,1086
226,2020-08-14,1095
227,2020-08-15,1027
228,2020-08-16,990
229,2020-08-17,1112
230,2020-08-18,1101
231,2020-08-19,1116
232,2020-08-20,1059
233,2020-08-21,1135
234,2020-08-22,1010
235,2020-08-23,989
236,2020-08-24,1072
237,2020-08-25,1141
238,2020-08-26,1048
239,2020-08-27,1040
240,2020-08-28,1064
241,2020-08-29,978
242,2020-08-30,919
243,2020-08-31,991
244,2020-09-01,944
245,2020-09-02,962
246,2020-09-03,960
247,2020-09-04,957
248,2020-09-05,837
249,2020-09-06,858
250,2020-09-07,885
251,2020-09-08,821
252,2020-09-09,830
253,2020-09-10,1206
254,2020-09-11,1000
255,2020-09-12,856
256,2020-09-13,802
257,2020-09-14,847
258,2020-09-15,866
259,2020-09-16,955
260,2020-09-17,899
261,2020-09-18,825
262,2020-09-19,810
263,2020-09-20,739
264,2020-09-21,882
265,2020-09-22,886
266,2020-09-23,1059
267,2020-09-24,1087
268,2020-09-25,1000
269,2020-09-26,922
270,2020-09-27,867
271,2020-09-28,888
272,2020-09-29,857
273,2020-09-30,931
274,2020-10-01,915
275,2020-10-02,767
276,2020-10-03,738
277,2020-10-04,732
278,2020-10-05,788
279,2020-10-06,709
280,2020-10-07,689
281,2020-10-08,802
282,2020-10-09,743
283,2020-10-10,716
284,2020-10-11,675
285,2020-10-12,758
286,2020-10-13,755
287,2020-10-14,890
288,2020-10-15,728
289,2020-10-16,740
290,2020-10-17,769
291,2020-10-18,632
292,2020-10-19,673
293,2020-10-20,677
294,2020-10-21,664
295,2020-10-22,653
296,2020-10-23,727
297,2020-10-24,630
298,2020-10-25,653
299,2020-10-26,633
300,2020-10-27,718
301,2020-10-28,705
302,2020-10-29,763
303,2020-10-30,761
304,2020-10-31,739
305,2020-11-01,674
306,2020-11-02,783
307,2020-11-03,729
308,2020-11-04,755
309,2020-11-05,771
310,2020-11-06,939
311,2020-11-07,843
312,2020-11-08,810
313,2020-11-09,821
314,2020-11-10,905
315,2020-11-11,869
316,2020-11-12,839
317,2020-11-13,835
318,2020-11-14,801
319,2020-11-15,792
320,2020-11-16,819
321,2020-11-17,784
322,2020-11-18,843
323,2020-11-19,859
324,2020-11-20,786
325,2020-11-21,767
326,2020-11-22,779
327,2020-11-23,706
328,2020-11-24,719
329,2020-11-25,749
330,2020-11-26,716
331,2020-11-27,667
332,2020-11-28,603
333,2020-11-29,728
334,2020-11-30,662
335,2020-12-01,717
336,2020-12-02,709
337,2020-12-03,686
338,2020-12-04,644
339,2020-12-05,638
340,2020-12-06,656
341,2020-12-07,689
342,2020-12-08,685
343,2020-12-09,722
344,2020-12-10,701
345,2020-12-11,792
346,2020-12-12,637
347,2020-12-13,629
348,2020-12-14,653
349,2020-12-15,685
350,2020-12-16,699
351,2020-12-17,696
352,2020-12-18,656
353,2020-12-19,638
354,2020-12-20,557
355,2020-12-21,632
356,2020-12-22,634
357,2020-12-23,704
358,2020-12-24,725
359,2020-12-25,698
360,2020-12-26,602
361,2020-12-27,599
362,2020-12-28,622
363,2020-12-29,636
364,2020-12-30,661
365,2020-12-31,706
