Duck不必,Date,DecryptedData
235,2020-08-23,901
236,2020-08-24,1021
237,2020-08-25,1069
238,2020-08-26,1015
239,2020-08-27,977
240,2020-08-28,924
241,2020-08-29,867
242,2020-08-30,831
243,2020-08-31,835
244,2020-09-01,811
245,2020-09-02,882
246,2020-09-03,880
247,2020-09-04,781
248,2020-09-05,832
249,2020-09-06,797
250,2020-09-07,804
251,2020-09-08,754
252,2020-09-09,734
253,2020-09-10,816
254,2020-09-11,836
255,2020-09-12,957
256,2020-09-13,966
257,2020-09-14,961
258,2020-09-15,892
259,2020-09-16,881
260,2020-09-17,826
261,2020-09-18,842
262,2020-09-19,942
263,2020-09-20,986
264,2020-09-21,949
265,2020-09-22,856
266,2020-09-23,977
267,2020-09-24,1251
268,2020-09-25,928
269,2020-09-26,882
270,2020-09-27,931
271,2020-09-28,960
272,2020-09-29,883
273,2020-09-30,881
274,2020-10-01,924
275,2020-10-02,857
276,2020-10-03,887
277,2020-10-04,914
278,2020-10-05,960
279,2020-10-06,913
280,2020-10-07,849
281,2020-10-08,858
282,2020-10-09,824
283,2020-10-10,878
284,2020-10-11,827
285,2020-10-12,764
286,2020-10-13,806
287,2020-10-14,784
288,2020-10-15,787
289,2020-10-16,782
290,2020-10-17,773
291,2020-10-18,926
292,2020-10-19,814
293,2020-10-20,795
294,2020-10-21,804
295,2020-10-22,748
296,2020-10-23,787
297,2020-10-24,929
298,2020-10-25,930
299,2020-10-26,861
300,2020-10-27,782
301,2020-10-28,806
302,2020-10-29,796
303,2020-10-30,787
304,2020-10-31,774
305,2020-11-01,749
306,2020-11-02,808
307,2020-11-03,709
308,2020-11-04,737
309,2020-11-05,738
310,2020-11-06,759
311,2020-11-07,739
312,2020-11-08,920
313,2020-11-09,742
314,2020-11-10,815
315,2020-11-11,734
316,2020-11-12,726
317,2020-11-13,768
318,2020-11-14,745
319,2020-11-15,720
320,2020-11-16,742
321,2020-11-17,779
322,2020-11-18,785
323,2020-11-19,814
324,2020-11-20,699
325,2020-11-21,758
326,2020-11-22,798
327,2020-11-23,729
328,2020-11-24,689
329,2020-11-25,702
330,2020-11-26,800
331,2020-11-27,799
332,2020-11-28,762
333,2020-11-29,838
334,2020-11-30,845
335,2020-12-01,769
336,2020-12-02,849
337,2020-12-03,788
338,2020-12-04,765
339,2020-12-05,847
340,2020-12-06,854
341,2020-12-07,861
342,2020-12-08,917
343,2020-12-09,932
344,2020-12-10,992
345,2020-12-11,967
346,2020-12-12,972
347,2020-12-13,958
348,2020-12-14,956
349,2020-12-15,808
350,2020-12-16,734
351,2020-12-17,705
352,2020-12-18,742
353,2020-12-19,685
354,2020-12-20,784
355,2020-12-21,704
356,2020-12-22,664
357,2020-12-23,711
358,2020-12-24,767
359,2020-12-25,734
360,2020-12-26,694
361,2020-12-27,709
362,2020-12-28,743
363,2020-12-29,705
364,2020-12-30,728
365,2020-12-31,1195
