快到碗里来,Date,DecryptedData
128,2013-05-09,1800
129,2013-05-10,1915
130,2013-05-11,1737
131,2013-05-12,1719
132,2013-05-13,1748
133,2013-05-14,1742
134,2013-05-15,1777
135,2013-05-16,1839
136,2013-05-17,1912
137,2013-05-18,1794
138,2013-05-19,1808
139,2013-05-20,1871
140,2013-05-21,1791
141,2013-05-22,1807
142,2013-05-23,1729
143,2013-05-24,1724
144,2013-05-25,1688
145,2013-05-26,1711
146,2013-05-27,1776
147,2013-05-28,1751
148,2013-05-29,1763
149,2013-05-30,1796
150,2013-05-31,1787
151,2013-06-01,1835
152,2013-06-02,1837
153,2013-06-03,1781
154,2013-06-04,1790
155,2013-06-05,1805
156,2013-06-06,1794
157,2013-06-07,1735
158,2013-06-08,1797
159,2013-06-09,1798
160,2013-06-10,1759
161,2013-06-11,1770
162,2013-06-12,1779
163,2013-06-13,1772
164,2013-06-14,1775
165,2013-06-15,1737
166,2013-06-16,1758
167,2013-06-17,1747
168,2013-06-18,1734
169,2013-06-19,1738
170,2013-06-20,1719
171,2013-06-21,1691
172,2013-06-22,1723
173,2013-06-23,1681
174,2013-06-24,1709
175,2013-06-25,1529
176,2013-06-26,1545
177,2013-06-27,1564
178,2013-06-28,1569
179,2013-06-29,1496
180,2013-06-30,1547
181,2013-07-01,1673
182,2013-07-02,1686
183,2013-07-03,1724
184,2013-07-04,1664
185,2013-07-05,1637
186,2013-07-06,1672
187,2013-07-07,1625
188,2013-07-08,1630
189,2013-07-09,1613
190,2013-07-10,1689
191,2013-07-11,1722
192,2013-07-12,1563
193,2013-07-13,1578
194,2013-07-14,1620
195,2013-07-15,1617
196,2013-07-16,1561
197,2013-07-17,1602
198,2013-07-18,1576
199,2013-07-19,1505
200,2013-07-20,1495
201,2013-07-21,1323
202,2013-07-22,1493
203,2013-07-23,1533
204,2013-07-24,1595
205,2013-07-25,1344
206,2013-07-26,1385
207,2013-07-27,1320
208,2013-07-28,1335
209,2013-07-29,1360
210,2013-07-30,1454
211,2013-07-31,1419
212,2013-08-01,1461
213,2013-08-02,1331
214,2013-08-03,1213
215,2013-08-04,1256
216,2013-08-05,1504
217,2013-08-06,1481
218,2013-08-07,1659
219,2013-08-08,1553
220,2013-08-09,1492
221,2013-08-10,1419
222,2013-08-11,1491
223,2013-08-12,1556
224,2013-08-13,1671
225,2013-08-14,1553
226,2013-08-15,1529
227,2013-08-16,1442
228,2013-08-17,1375
229,2013-08-18,1357
230,2013-08-19,1368
231,2013-08-20,1324
232,2013-08-21,1380
233,2013-08-22,1437
234,2013-08-23,1349
235,2013-08-24,1213
236,2013-08-25,1188
237,2013-08-26,1366
238,2013-08-27,1490
239,2013-08-28,1328
240,2013-08-29,1252
241,2013-08-30,1289
242,2013-08-31,1097
243,2013-09-01,1005
244,2013-09-02,1047
245,2013-09-03,1001
246,2013-09-04,1108
247,2013-09-05,1160
248,2013-09-06,1165
249,2013-09-07,1139
250,2013-09-08,1109
251,2013-09-09,1072
252,2013-09-10,1134
253,2013-09-11,1135
254,2013-09-12,1037
255,2013-09-13,953
256,2013-09-14,915
257,2013-09-15,977
258,2013-09-16,934
259,2013-09-17,902
260,2013-09-18,977
261,2013-09-19,1041
262,2013-09-20,1007
263,2013-09-21,996
264,2013-09-22,952
265,2013-09-23,933
266,2013-09-24,914
267,2013-09-25,892
268,2013-09-26,886
269,2013-09-27,833
270,2013-09-28,841
271,2013-09-29,859
272,2013-09-30,934
273,2013-10-01,949
274,2013-10-02,989
275,2013-10-03,993
276,2013-10-04,938
277,2013-10-05,1171
278,2013-10-06,1046
279,2013-10-07,1109
280,2013-10-08,1017
281,2013-10-09,960
282,2013-10-10,1029
283,2013-10-11,1059
284,2013-10-12,1000
285,2013-10-13,986
286,2013-10-14,979
287,2013-10-15,864
288,2013-10-16,790
289,2013-10-17,911
290,2013-10-18,803
291,2013-10-19,852
292,2013-10-20,910
293,2013-10-21,815
294,2013-10-22,799
295,2013-10-23,795
296,2013-10-24,853
297,2013-10-25,821
298,2013-10-26,771
299,2013-10-27,828
300,2013-10-28,890
301,2013-10-29,882
302,2013-10-30,900
303,2013-10-31,869
304,2013-11-01,876
305,2013-11-02,884
306,2013-11-03,840
307,2013-11-04,1165
308,2013-11-05,1039
309,2013-11-06,825
310,2013-11-07,900
311,2013-11-08,835
312,2013-11-09,878
313,2013-11-10,889
314,2013-11-11,878
315,2013-11-12,866
316,2013-11-13,836
317,2013-11-14,818
318,2013-11-15,773
319,2013-11-16,737
320,2013-11-17,765
321,2013-11-18,766
322,2013-11-19,818
323,2013-11-20,719
324,2013-11-21,782
325,2013-11-22,716
326,2013-11-23,929
327,2013-11-24,1222
328,2013-11-25,964
329,2013-11-26,1093
330,2013-11-27,1237
331,2013-11-28,1292
332,2013-11-29,1369
333,2013-11-30,1272
334,2013-12-01,1302
335,2013-12-02,1435
336,2013-12-03,1485
337,2013-12-04,1512
338,2013-12-05,1606
339,2013-12-06,1667
340,2013-12-07,1486
341,2013-12-08,1581
342,2013-12-09,1584
343,2013-12-10,1427
344,2013-12-11,1420
345,2013-12-12,1462
346,2013-12-13,1399
347,2013-12-14,1091
348,2013-12-15,1019
349,2013-12-16,1221
350,2013-12-17,1339
351,2013-12-18,1236
352,2013-12-19,1253
353,2013-12-20,1069
354,2013-12-21,1012
355,2013-12-22,1061
356,2013-12-23,937
357,2013-12-24,859
358,2013-12-25,805
359,2013-12-26,801
360,2013-12-27,713
361,2013-12-28,741
362,2013-12-29,800
363,2013-12-30,774
364,2013-12-31,718
