乘风破浪的姐姐,Date,DecryptedData
229,2020-08-17,91079
230,2020-08-18,66346
231,2020-08-19,56802
232,2020-08-20,48358
233,2020-08-21,93718
234,2020-08-22,88700
235,2020-08-23,55682
236,2020-08-24,47579
237,2020-08-25,38326
238,2020-08-26,35113
239,2020-08-27,37769
240,2020-08-28,87462
241,2020-08-29,82676
242,2020-08-30,49235
243,2020-08-31,38063
244,2020-09-01,32286
245,2020-09-02,29994
246,2020-09-03,33997
247,2020-09-04,129874
248,2020-09-05,211956
249,2020-09-06,74454
250,2020-09-07,43758
251,2020-09-08,30084
252,2020-09-09,27526
253,2020-09-10,21238
254,2020-09-11,19974
255,2020-09-12,20605
256,2020-09-13,17998
257,2020-09-14,14028
258,2020-09-15,12800
259,2020-09-16,11421
260,2020-09-17,10873
261,2020-09-18,10546
262,2020-09-19,12686
263,2020-09-20,11329
264,2020-09-21,8612
265,2020-09-22,8489
266,2020-09-23,8364
267,2020-09-24,7199
268,2020-09-25,5804
269,2020-09-26,5642
270,2020-09-27,4900
271,2020-09-28,4471
272,2020-09-29,6904
273,2020-09-30,7758
274,2020-10-01,11046
275,2020-10-02,9339
276,2020-10-03,8956
277,2020-10-04,8323
278,2020-10-05,8083
279,2020-10-06,7710
280,2020-10-07,7313
281,2020-10-08,7148
282,2020-10-09,6469
283,2020-10-10,6586
284,2020-10-11,6885
285,2020-10-12,5738
286,2020-10-13,5700
287,2020-10-14,6146
288,2020-10-15,5818
289,2020-10-16,6449
290,2020-10-17,6959
291,2020-10-18,6610
292,2020-10-19,5592
293,2020-10-20,5225
294,2020-10-21,5428
295,2020-10-22,5608
296,2020-10-23,6144
297,2020-10-24,8328
298,2020-10-25,7261
299,2020-10-26,5671
300,2020-10-27,5412
301,2020-10-28,5250
302,2020-10-29,5597
303,2020-10-30,5993
304,2020-10-31,7086
305,2020-11-01,6203
306,2020-11-02,5074
307,2020-11-03,4628
308,2020-11-04,4535
309,2020-11-05,4503
310,2020-11-06,5360
311,2020-11-07,6150
312,2020-11-08,5693
313,2020-11-09,5013
314,2020-11-10,4679
315,2020-11-11,4314
316,2020-11-12,4636
317,2020-11-13,5381
318,2020-11-14,5996
319,2020-11-15,5436
320,2020-11-16,4834
321,2020-11-17,4587
322,2020-11-18,5396
323,2020-11-19,5466
324,2020-11-20,5860
325,2020-11-21,6766
326,2020-11-22,5952
327,2020-11-23,5289
328,2020-11-24,5080
329,2020-11-25,5145
330,2020-11-26,5001
331,2020-11-27,5946
332,2020-11-28,5539
333,2020-11-29,4996
334,2020-11-30,4626
335,2020-12-01,4447
336,2020-12-02,4438
337,2020-12-03,4946
338,2020-12-04,5897
339,2020-12-05,5709
340,2020-12-06,6580
341,2020-12-07,5822
342,2020-12-08,5596
343,2020-12-09,5043
344,2020-12-10,4910
345,2020-12-11,4916
346,2020-12-12,5313
347,2020-12-13,7061
348,2020-12-14,6579
349,2020-12-15,6482
350,2020-12-16,5986
351,2020-12-17,5546
352,2020-12-18,5843
353,2020-12-19,6551
354,2020-12-20,6808
355,2020-12-21,5189
356,2020-12-22,5122
357,2020-12-23,5364
358,2020-12-24,5483
359,2020-12-25,5956
360,2020-12-26,8751
361,2020-12-27,7759
362,2020-12-28,6261
363,2020-12-29,5856
364,2020-12-30,6050
365,2020-12-31,13821
