合成大西瓜,Date,DecryptedData
101,2021-04-12,2091
102,2021-04-13,2021
103,2021-04-14,1969
104,2021-04-15,2046
105,2021-04-16,2020
106,2021-04-17,1883
107,2021-04-18,1767
108,2021-04-19,1844
109,2021-04-20,1824
110,2021-04-21,1862
111,2021-04-22,1879
112,2021-04-23,1870
113,2021-04-24,1903
114,2021-04-25,1702
115,2021-04-26,1760
116,2021-04-27,1617
117,2021-04-28,1746
118,2021-04-29,1740
119,2021-04-30,1954
120,2021-05-01,2057
121,2021-05-02,2098
122,2021-05-03,1966
123,2021-05-04,1845
124,2021-05-05,1580
125,2021-05-06,1381
126,2021-05-07,1436
127,2021-05-08,1391
128,2021-05-09,1425
129,2021-05-10,1442
130,2021-05-11,1381
131,2021-05-12,1425
132,2021-05-13,1419
133,2021-05-14,1568
134,2021-05-15,1599
135,2021-05-16,1409
136,2021-05-17,1391
137,2021-05-18,1392
138,2021-05-19,1383
139,2021-05-20,1292
140,2021-05-21,1365
141,2021-05-22,1408
142,2021-05-23,1419
143,2021-05-24,1378
144,2021-05-25,1345
145,2021-05-26,1428
146,2021-05-27,1407
147,2021-05-28,1515
148,2021-05-29,1456
149,2021-05-30,1898
150,2021-05-31,1536
151,2021-06-01,1564
152,2021-06-02,1430
153,2021-06-03,1520
154,2021-06-04,1483
155,2021-06-05,1551
156,2021-06-06,1405
157,2021-06-07,1423
158,2021-06-08,1390
159,2021-06-09,1353
160,2021-06-10,1443
161,2021-06-11,1378
162,2021-06-12,1359
163,2021-06-13,1457
164,2021-06-14,1371
165,2021-06-15,1289
166,2021-06-16,1369
167,2021-06-17,1376
168,2021-06-18,1279
169,2021-06-19,1280
170,2021-06-20,1266
171,2021-06-21,1270
172,2021-06-22,1280
173,2021-06-23,1299
174,2021-06-24,1276
175,2021-06-25,1827
176,2021-06-26,1651
177,2021-06-27,1539
178,2021-06-28,1532
179,2021-06-29,1518
180,2021-06-30,1538
181,2021-07-01,1584
182,2021-07-02,1563
183,2021-07-03,1432
184,2021-07-04,1481
185,2021-07-05,1330
186,2021-07-06,1439
187,2021-07-07,1490
188,2021-07-08,1455
189,2021-07-09,1473
190,2021-07-10,1507
191,2021-07-11,1532
192,2021-07-12,1424
193,2021-07-13,1512
194,2021-07-14,1559
195,2021-07-15,1502
196,2021-07-16,1492
197,2021-07-17,1500
198,2021-07-18,1541
199,2021-07-19,1385
200,2021-07-20,1382
201,2021-07-21,1452
202,2021-07-22,1499
203,2021-07-23,1461
204,2021-07-24,1459
205,2021-07-25,1631
206,2021-07-26,1534
207,2021-07-27,1545
208,2021-07-28,1665
209,2021-07-29,1616
210,2021-07-30,1841
211,2021-07-31,1831
212,2021-08-01,1881
213,2021-08-02,1915
214,2021-08-03,2048
215,2021-08-04,2285
216,2021-08-05,2312
217,2021-08-06,2147
218,2021-08-07,2219
219,2021-08-08,2162
220,2021-08-09,1982
221,2021-08-10,1964
222,2021-08-11,2169
223,2021-08-12,2072
224,2021-08-13,2072
225,2021-08-14,1997
226,2021-08-15,1952
227,2021-08-16,2041
228,2021-08-17,2288
229,2021-08-18,1948
230,2021-08-19,2004
231,2021-08-20,2049
232,2021-08-21,2158
233,2021-08-22,2184
234,2021-08-23,2091
235,2021-08-24,2233
236,2021-08-25,2095
237,2021-08-26,1612
238,2021-08-27,1494
239,2021-08-28,2028
240,2021-08-29,2274
241,2021-08-30,1925
242,2021-08-31,1894
243,2021-09-01,1620
244,2021-09-02,1574
245,2021-09-03,1622
246,2021-09-04,1861
247,2021-09-05,1670
248,2021-09-06,1410
249,2021-09-07,1348
250,2021-09-08,2558
251,2021-09-09,1362
252,2021-09-10,1292
253,2021-09-11,1410
254,2021-09-12,1559
255,2021-09-13,1465
256,2021-09-14,1421
257,2021-09-15,1476
258,2021-09-16,1414
259,2021-09-17,1370
260,2021-09-18,1491
261,2021-09-19,1639
262,2021-09-20,1621
263,2021-09-21,1492
264,2021-09-22,1282
265,2021-09-23,1295
266,2021-09-24,1223
267,2021-09-25,1185
268,2021-09-26,1173
269,2021-09-27,1220
270,2021-09-28,1206
271,2021-09-29,1270
272,2021-09-30,1272
273,2021-10-01,1409
274,2021-10-02,1398
275,2021-10-03,1358
276,2021-10-04,1309
277,2021-10-05,1275
278,2021-10-06,1212
279,2021-10-07,1144
280,2021-10-08,1119
281,2021-10-09,1151
282,2021-10-10,1146
283,2021-10-11,1123
284,2021-10-12,1156
285,2021-10-13,1098
286,2021-10-14,1190
287,2021-10-15,1229
288,2021-10-16,1164
289,2021-10-17,1105
290,2021-10-18,1135
291,2021-10-19,1120
292,2021-10-20,1178
293,2021-10-21,1172
294,2021-10-22,1148
295,2021-10-23,1135
296,2021-10-24,1081
297,2021-10-25,1122
298,2021-10-26,1105
299,2021-10-27,1084
300,2021-10-28,1063
301,2021-10-29,1102
302,2021-10-30,1050
303,2021-10-31,1011
304,2021-11-01,909
305,2021-11-02,981
306,2021-11-03,984
307,2021-11-04,951
308,2021-11-05,970
309,2021-11-06,1057
310,2021-11-07,980
311,2021-11-08,793
312,2021-11-09,861
313,2021-11-10,888
314,2021-11-11,898
315,2021-11-12,998
316,2021-11-13,1028
317,2021-11-14,1020
318,2021-11-15,965
319,2021-11-16,942
320,2021-11-17,1040
321,2021-11-18,926
322,2021-11-19,1011
323,2021-11-20,1044
324,2021-11-21,1016
325,2021-11-22,977
326,2021-11-23,901
327,2021-11-24,1002
328,2021-11-25,964
329,2021-11-26,1011
330,2021-11-27,1031
331,2021-11-28,999
332,2021-11-29,948
333,2021-11-30,901
334,2021-12-01,940
335,2021-12-02,992
336,2021-12-03,1027
337,2021-12-04,1029
338,2021-12-05,1037
339,2021-12-06,982
340,2021-12-07,946
341,2021-12-08,1047
342,2021-12-09,1021
343,2021-12-10,1139
344,2021-12-11,1082
345,2021-12-12,1067
346,2021-12-13,1080
347,2021-12-14,1147
348,2021-12-15,1244
349,2021-12-16,1157
350,2021-12-17,1143
351,2021-12-18,1099
352,2021-12-19,1088
353,2021-12-20,1107
354,2021-12-21,1054
355,2021-12-22,1126
356,2021-12-23,1134
357,2021-12-24,1180
358,2021-12-25,1186
359,2021-12-26,1308
360,2021-12-27,1263
361,2021-12-28,1425
362,2021-12-29,1890
363,2021-12-30,3334
364,2021-12-31,2337
