你咋不上天呢,Date,DecryptedData
168,2016-06-17,841
169,2016-06-18,803
170,2016-06-19,747
171,2016-06-20,1003
172,2016-06-21,895
173,2016-06-22,858
174,2016-06-23,862
175,2016-06-24,874
176,2016-06-25,758
177,2016-06-26,728
178,2016-06-27,849
179,2016-06-28,915
180,2016-06-29,897
181,2016-06-30,935
182,2016-07-01,918
183,2016-07-02,832
184,2016-07-03,777
185,2016-07-04,821
186,2016-07-05,955
187,2016-07-06,859
188,2016-07-07,918
189,2016-07-08,845
190,2016-07-09,811
191,2016-07-10,747
192,2016-07-11,861
193,2016-07-12,910
194,2016-07-13,885
195,2016-07-14,868
196,2016-07-15,758
197,2016-07-16,685
198,2016-07-17,705
199,2016-07-18,755
200,2016-07-19,815
201,2016-07-20,736
202,2016-07-21,812
203,2016-07-22,732
204,2016-07-23,596
205,2016-07-24,651
206,2016-07-25,732
207,2016-07-26,693
208,2016-07-27,700
209,2016-07-28,655
210,2016-07-29,768
211,2016-07-30,667
212,2016-07-31,629
213,2016-08-01,760
214,2016-08-02,725
215,2016-08-03,704
216,2016-08-04,709
217,2016-08-05,745
218,2016-08-06,624
219,2016-08-07,590
220,2016-08-08,672
221,2016-08-09,802
222,2016-08-10,698
223,2016-08-11,660
224,2016-08-12,681
225,2016-08-13,655
226,2016-08-14,566
227,2016-08-15,610
228,2016-08-16,615
229,2016-08-17,571
230,2016-08-18,615
231,2016-08-19,680
232,2016-08-20,556
233,2016-08-21,496
234,2016-08-22,584
235,2016-08-23,638
236,2016-08-24,651
237,2016-08-25,588
238,2016-08-26,609
239,2016-08-27,555
240,2016-08-28,535
241,2016-08-29,598
242,2016-08-30,618
243,2016-08-31,574
244,2016-09-01,520
245,2016-09-02,585
246,2016-09-03,526
247,2016-09-04,490
248,2016-09-05,544
249,2016-09-06,557
250,2016-09-07,591
251,2016-09-08,484
252,2016-09-09,523
253,2016-09-10,482
254,2016-09-11,477
255,2016-09-12,532
256,2016-09-13,483
257,2016-09-14,597
258,2016-09-15,661
259,2016-09-16,597
260,2016-09-17,507
261,2016-09-18,461
262,2016-09-19,485
263,2016-09-20,530
264,2016-09-21,531
265,2016-09-22,533
266,2016-09-23,551
267,2016-09-24,518
268,2016-09-25,867
269,2016-09-26,615
270,2016-09-27,552
271,2016-09-28,549
272,2016-09-29,482
273,2016-09-30,538
274,2016-10-01,552
275,2016-10-02,697
276,2016-10-03,662
277,2016-10-04,779
278,2016-10-05,737
279,2016-10-06,629
280,2016-10-07,618
281,2016-10-08,595
282,2016-10-09,574
283,2016-10-10,555
284,2016-10-11,482
285,2016-10-12,461
286,2016-10-13,516
287,2016-10-14,563
288,2016-10-15,493
289,2016-10-16,549
290,2016-10-17,669
291,2016-10-18,574
292,2016-10-19,554
293,2016-10-20,502
294,2016-10-21,544
295,2016-10-22,515
296,2016-10-23,483
297,2016-10-24,429
298,2016-10-25,451
299,2016-10-26,493
300,2016-10-27,491
301,2016-10-28,499
302,2016-10-29,418
303,2016-10-30,408
304,2016-10-31,444
305,2016-11-01,612
306,2016-11-02,525
307,2016-11-03,467
308,2016-11-04,564
309,2016-11-05,516
310,2016-11-06,507
311,2016-11-07,474
312,2016-11-08,511
313,2016-11-09,503
314,2016-11-10,436
315,2016-11-11,394
316,2016-11-12,414
317,2016-11-13,408
318,2016-11-14,461
319,2016-11-15,488
320,2016-11-16,431
321,2016-11-17,376
322,2016-11-18,449
323,2016-11-19,397
324,2016-11-20,431
325,2016-11-21,449
326,2016-11-22,439
327,2016-11-23,469
328,2016-11-24,453
329,2016-11-25,423
330,2016-11-26,499
331,2016-11-27,523
332,2016-11-28,553
333,2016-11-29,439
334,2016-11-30,507
335,2016-12-01,531
336,2016-12-02,508
337,2016-12-03,528
338,2016-12-04,533
339,2016-12-05,609
340,2016-12-06,499
341,2016-12-07,510
342,2016-12-08,568
343,2016-12-09,509
344,2016-12-10,447
345,2016-12-11,473
346,2016-12-12,468
347,2016-12-13,538
348,2016-12-14,490
349,2016-12-15,524
350,2016-12-16,518
351,2016-12-17,412
352,2016-12-18,423
353,2016-12-19,475
354,2016-12-20,542
355,2016-12-21,584
356,2016-12-22,595
357,2016-12-23,560
358,2016-12-24,566
359,2016-12-25,457
360,2016-12-26,485
361,2016-12-27,485
362,2016-12-28,493
363,2016-12-29,551
364,2016-12-30,541
365,2016-12-31,482
