PPAP,Date,DecryptedData
118,2016-04-28,977
119,2016-04-29,756
120,2016-04-30,359
121,2016-05-01,242
122,2016-05-02,303
123,2016-05-03,809
124,2016-05-04,864
125,2016-05-05,1168
126,2016-05-06,853
127,2016-05-07,494
128,2016-05-08,423
129,2016-05-09,942
130,2016-05-10,1018
131,2016-05-11,949
132,2016-05-12,993
133,2016-05-13,937
134,2016-05-14,530
135,2016-05-15,374
136,2016-05-16,865
137,2016-05-17,931
138,2016-05-18,979
139,2016-05-19,933
140,2016-05-20,833
141,2016-05-21,479
142,2016-05-22,426
143,2016-05-23,957
144,2016-05-24,957
145,2016-05-25,957
146,2016-05-26,1031
147,2016-05-27,890
148,2016-05-28,518
149,2016-05-29,407
150,2016-05-30,1007
151,2016-05-31,971
152,2016-06-01,937
153,2016-06-02,923
154,2016-06-03,895
155,2016-06-04,488
156,2016-06-05,373
157,2016-06-06,890
158,2016-06-07,950
159,2016-06-08,730
160,2016-06-09,275
161,2016-06-10,369
162,2016-06-11,374
163,2016-06-12,737
164,2016-06-13,960
165,2016-06-14,900
166,2016-06-15,921
167,2016-06-16,878
168,2016-06-17,811
169,2016-06-18,518
170,2016-06-19,386
171,2016-06-20,845
172,2016-06-21,962
173,2016-06-22,953
174,2016-06-23,944
175,2016-06-24,790
176,2016-06-25,476
177,2016-06-26,333
178,2016-06-27,899
179,2016-06-28,1044
180,2016-06-29,895
181,2016-06-30,922
182,2016-07-01,772
183,2016-07-02,445
184,2016-07-03,376
185,2016-07-04,946
186,2016-07-05,945
187,2016-07-06,900
188,2016-07-07,899
189,2016-07-08,834
190,2016-07-09,431
191,2016-07-10,355
192,2016-07-11,941
193,2016-07-12,989
194,2016-07-13,953
195,2016-07-14,940
196,2016-07-15,842
197,2016-07-16,495
198,2016-07-17,381
199,2016-07-18,945
200,2016-07-19,921
201,2016-07-20,966
202,2016-07-21,998
203,2016-07-22,866
204,2016-07-23,429
205,2016-07-24,318
206,2016-07-25,852
207,2016-07-26,988
208,2016-07-27,853
209,2016-07-28,919
210,2016-07-29,825
211,2016-07-30,418
212,2016-07-31,352
213,2016-08-01,790
214,2016-08-02,787
215,2016-08-03,815
216,2016-08-04,923
217,2016-08-05,862
218,2016-08-06,434
219,2016-08-07,337
220,2016-08-08,879
221,2016-08-09,836
222,2016-08-10,907
223,2016-08-11,914
224,2016-08-12,866
225,2016-08-13,409
226,2016-08-14,332
227,2016-08-15,848
228,2016-08-16,783
229,2016-08-17,912
230,2016-08-18,939
231,2016-08-19,773
232,2016-08-20,452
233,2016-08-21,359
234,2016-08-22,847
235,2016-08-23,869
236,2016-08-24,862
237,2016-08-25,890
238,2016-08-26,766
239,2016-08-27,409
240,2016-08-28,331
241,2016-08-29,824
242,2016-08-30,910
243,2016-08-31,891
244,2016-09-01,915
245,2016-09-02,744
246,2016-09-03,425
247,2016-09-04,331
248,2016-09-05,820
249,2016-09-06,878
250,2016-09-07,932
251,2016-09-08,900
252,2016-09-09,783
253,2016-09-10,486
254,2016-09-11,372
255,2016-09-12,738
256,2016-09-13,791
257,2016-09-14,674
258,2016-09-15,270
259,2016-09-16,306
260,2016-09-17,373
261,2016-09-18,824
262,2016-09-19,869
263,2016-09-20,895
264,2016-09-21,894
265,2016-09-22,837
266,2016-09-23,832
267,2016-09-24,561
268,2016-09-25,870
269,2016-09-26,4274
270,2016-09-27,18455
271,2016-09-28,26553
272,2016-09-29,28509
273,2016-09-30,33722
274,2016-10-01,32815
275,2016-10-02,38510
276,2016-10-03,41499
277,2016-10-04,66619
278,2016-10-05,247672
279,2016-10-06,177351
280,2016-10-07,143428
281,2016-10-08,117383
282,2016-10-09,108096
283,2016-10-10,88879
284,2016-10-11,82479
285,2016-10-12,75021
286,2016-10-13,66476
287,2016-10-14,62052
288,2016-10-15,77086
289,2016-10-16,66144
290,2016-10-17,44348
291,2016-10-18,37408
292,2016-10-19,34862
293,2016-10-20,33000
294,2016-10-21,35147
295,2016-10-22,41025
296,2016-10-23,45743
297,2016-10-24,31878
298,2016-10-25,28026
299,2016-10-26,27021
300,2016-10-27,26035
301,2016-10-28,41840
302,2016-10-29,64363
303,2016-10-30,58239
304,2016-10-31,66355
305,2016-11-01,55070
306,2016-11-02,52859
307,2016-11-03,47152
308,2016-11-04,46387
309,2016-11-05,62304
310,2016-11-06,56793
311,2016-11-07,34545
312,2016-11-08,31287
313,2016-11-09,27974
314,2016-11-10,24630
315,2016-11-11,24190
316,2016-11-12,34754
317,2016-11-13,29523
318,2016-11-14,21696
319,2016-11-15,24005
320,2016-11-16,26613
321,2016-11-17,22920
322,2016-11-18,20988
323,2016-11-19,29087
324,2016-11-20,25171
325,2016-11-21,18985
326,2016-11-22,18790
327,2016-11-23,17305
328,2016-11-24,16431
329,2016-11-25,17888
330,2016-11-26,21461
331,2016-11-27,19585
332,2016-11-28,14153
333,2016-11-29,13811
334,2016-11-30,13662
335,2016-12-01,14323
336,2016-12-02,15100
337,2016-12-03,20842
338,2016-12-04,17112
339,2016-12-05,13423
340,2016-12-06,14483
341,2016-12-07,14594
342,2016-12-08,13976
343,2016-12-09,13464
344,2016-12-10,15053
345,2016-12-11,13550
346,2016-12-12,11463
347,2016-12-13,12772
348,2016-12-14,14845
349,2016-12-15,14127
350,2016-12-16,13549
351,2016-12-17,15756
352,2016-12-18,14478
353,2016-12-19,28673
354,2016-12-20,34309
355,2016-12-21,36183
356,2016-12-22,30384
357,2016-12-23,24500
358,2016-12-24,21781
359,2016-12-25,17383
360,2016-12-26,16315
361,2016-12-27,16089
362,2016-12-28,16350
363,2016-12-29,16110
364,2016-12-30,18452
365,2016-12-31,20847
