妈卖批,Date,DecryptedData
322,2016-11-18,2697
323,2016-11-19,3037
324,2016-11-20,3831
325,2016-11-21,5061
326,2016-11-22,5766
327,2016-11-23,6447
328,2016-11-24,5641
329,2016-11-25,4300
330,2016-11-26,3514
331,2016-11-27,5736
332,2016-11-28,5848
333,2016-11-29,5930
334,2016-11-30,6265
335,2016-12-01,4801
336,2016-12-02,6002
337,2016-12-03,5941
338,2016-12-04,7036
339,2016-12-05,7340
340,2016-12-06,7084
341,2016-12-07,6592
342,2016-12-08,6171
343,2016-12-09,6489
344,2016-12-10,5979
345,2016-12-11,5984
346,2016-12-12,5665
347,2016-12-13,5963
348,2016-12-14,5875
349,2016-12-15,6189
350,2016-12-16,7162
351,2016-12-17,7235
352,2016-12-18,7553
353,2016-12-19,7437
354,2016-12-20,7487
355,2016-12-21,7353
356,2016-12-22,6612
357,2016-12-23,6860
358,2016-12-24,6241
359,2016-12-25,7022
360,2016-12-26,6683
361,2016-12-27,6197
362,2016-12-28,5933
363,2016-12-29,5527
364,2016-12-30,4911
365,2016-12-31,5375
