你懂的,Date,DecryptedData
129,2014-05-10,4494
130,2014-05-11,4206
131,2014-05-12,3643
132,2014-05-13,4106
133,2014-05-14,3987
134,2014-05-15,4068
135,2014-05-16,4005
136,2014-05-17,5151
137,2014-05-18,4515
138,2014-05-19,3626
139,2014-05-20,3544
140,2014-05-21,3713
141,2014-05-22,3540
142,2014-05-23,4184
143,2014-05-24,5028
144,2014-05-25,4692
145,2014-05-26,3231
146,2014-05-27,3278
147,2014-05-28,3114
148,2014-05-29,3211
149,2014-05-30,3565
150,2014-05-31,3986
151,2014-06-01,3901
152,2014-06-02,4054
153,2014-06-03,3526
154,2014-06-04,3759
155,2014-06-05,3494
156,2014-06-06,3761
157,2014-06-07,4249
158,2014-06-08,4610
159,2014-06-09,3818
160,2014-06-10,3534
161,2014-06-11,3887
162,2014-06-12,4487
163,2014-06-13,4251
164,2014-06-14,4631
165,2014-06-15,4484
166,2014-06-16,3895
167,2014-06-17,3897
168,2014-06-18,3979
169,2014-06-19,4890
170,2014-06-20,5472
171,2014-06-21,5888
172,2014-06-22,5630
173,2014-06-23,4967
174,2014-06-24,5117
175,2014-06-25,5220
176,2014-06-26,5029
177,2014-06-27,5406
178,2014-06-28,5868
179,2014-06-29,5565
180,2014-06-30,5845
181,2014-07-01,6268
182,2014-07-02,6748
183,2014-07-03,7271
184,2014-07-04,6331
185,2014-07-05,5898
186,2014-07-06,5899
187,2014-07-07,5241
188,2014-07-08,5528
189,2014-07-09,5742
190,2014-07-10,6461
191,2014-07-11,6771
192,2014-07-12,6180
193,2014-07-13,6498
194,2014-07-14,6094
195,2014-07-15,6010
196,2014-07-16,5807
197,2014-07-17,5893
198,2014-07-18,5769
199,2014-07-19,5838
200,2014-07-20,6176
201,2014-07-21,5872
202,2014-07-22,5540
203,2014-07-23,5561
204,2014-07-24,5711
205,2014-07-25,5730
206,2014-07-26,5926
207,2014-07-27,5941
208,2014-07-28,5513
209,2014-07-29,9890
210,2014-07-30,14716
211,2014-07-31,8583
212,2014-08-01,6565
213,2014-08-02,5386
214,2014-08-03,5525
215,2014-08-04,5420
216,2014-08-05,5556
217,2014-08-06,5624
218,2014-08-07,5972
219,2014-08-08,5760
220,2014-08-09,6227
221,2014-08-10,6345
222,2014-08-11,5622
223,2014-08-12,5441
224,2014-08-13,5162
225,2014-08-14,5283
226,2014-08-15,5089
227,2014-08-16,4730
228,2014-08-17,4760
229,2014-08-18,4220
230,2014-08-19,3985
231,2014-08-20,4021
232,2014-08-21,4062
233,2014-08-22,3915
234,2014-08-23,4202
235,2014-08-24,4701
236,2014-08-25,4305
237,2014-08-26,4250
238,2014-08-27,5036
239,2014-08-28,4792
240,2014-08-29,4361
241,2014-08-30,4688
242,2014-08-31,4536
243,2014-09-01,4232
244,2014-09-02,4374
245,2014-09-03,4128
246,2014-09-04,4176
247,2014-09-05,4526
248,2014-09-06,4865
249,2014-09-07,5136
250,2014-09-08,4947
251,2014-09-09,4195
252,2014-09-10,4024
253,2014-09-11,3864
254,2014-09-12,3931
255,2014-09-13,4480
256,2014-09-14,4530
257,2014-09-15,3648
258,2014-09-16,3621
259,2014-09-17,3389
260,2014-09-18,3348
261,2014-09-19,3409
262,2014-09-20,4012
263,2014-09-21,3994
264,2014-09-22,3429
265,2014-09-23,3516
266,2014-09-24,3464
267,2014-09-25,3368
268,2014-09-26,3607
269,2014-09-27,4099
270,2014-09-28,4683
271,2014-09-29,4736
272,2014-09-30,5267
273,2014-10-01,6827
274,2014-10-02,6387
275,2014-10-03,6352
276,2014-10-04,6231
277,2014-10-05,5998
278,2014-10-06,5042
279,2014-10-07,3920
280,2014-10-08,3306
281,2014-10-09,3486
282,2014-10-10,3475
283,2014-10-11,3886
284,2014-10-12,4296
285,2014-10-13,3260
286,2014-10-14,3332
287,2014-10-15,3544
288,2014-10-16,3729
289,2014-10-17,3548
290,2014-10-18,4487
291,2014-10-19,4448
292,2014-10-20,3617
293,2014-10-21,4026
294,2014-10-22,3883
295,2014-10-23,4038
296,2014-10-24,4594
297,2014-10-25,5220
298,2014-10-26,5056
299,2014-10-27,4115
300,2014-10-28,4193
301,2014-10-29,4963
302,2014-10-30,4293
303,2014-10-31,4692
304,2014-11-01,5486
305,2014-11-02,5018
306,2014-11-03,3724
307,2014-11-04,3805
308,2014-11-05,4000
309,2014-11-06,4386
310,2014-11-07,4518
311,2014-11-08,4816
312,2014-11-09,5017
313,2014-11-10,3918
314,2014-11-11,3883
315,2014-11-12,4208
316,2014-11-13,4196
317,2014-11-14,4516
318,2014-11-15,5748
319,2014-11-16,5259
320,2014-11-17,4001
321,2014-11-18,4427
322,2014-11-19,4277
323,2014-11-20,4607
324,2014-11-21,5400
325,2014-11-22,6397
326,2014-11-23,5942
327,2014-11-24,4591
328,2014-11-25,4578
329,2014-11-26,4818
330,2014-11-27,4891
331,2014-11-28,5021
332,2014-11-29,6139
333,2014-11-30,5995
334,2014-12-01,4347
335,2014-12-02,4195
336,2014-12-03,4363
337,2014-12-04,4351
338,2014-12-05,4421
339,2014-12-06,5576
340,2014-12-07,5183
341,2014-12-08,4062
342,2014-12-09,4200
343,2014-12-10,4356
344,2014-12-11,4296
345,2014-12-12,4409
346,2014-12-13,5383
347,2014-12-14,5169
348,2014-12-15,4437
349,2014-12-16,5043
350,2014-12-17,5133
351,2014-12-18,5131
352,2014-12-19,5740
353,2014-12-20,6609
354,2014-12-21,6129
355,2014-12-22,4998
356,2014-12-23,4955
357,2014-12-24,4770
358,2014-12-25,4715
359,2014-12-26,5027
360,2014-12-27,5704
361,2014-12-28,5275
362,2014-12-29,4315
363,2014-12-30,4791
364,2014-12-31,5284
