葛优躺,Date,DecryptedData
198,2016-07-17,21075
199,2016-07-18,20833
200,2016-07-19,21050
201,2016-07-20,21907
202,2016-07-21,22049
203,2016-07-22,22811
204,2016-07-23,25137
205,2016-07-24,26246
206,2016-07-25,25938
207,2016-07-26,23657
208,2016-07-27,26001
209,2016-07-28,27205
210,2016-07-29,28666
211,2016-07-30,27411
212,2016-07-31,26587
213,2016-08-01,23055
214,2016-08-02,21260
215,2016-08-03,19672
216,2016-08-04,21733
217,2016-08-05,21806
218,2016-08-06,21090
219,2016-08-07,20630
220,2016-08-08,18096
221,2016-08-09,16908
222,2016-08-10,17735
223,2016-08-11,16602
224,2016-08-12,17443
225,2016-08-13,18891
226,2016-08-14,17823
227,2016-08-15,16847
228,2016-08-16,14392
229,2016-08-17,12527
230,2016-08-18,14399
231,2016-08-19,19003
232,2016-08-20,16785
233,2016-08-21,14491
234,2016-08-22,13109
235,2016-08-23,12266
236,2016-08-24,11533
237,2016-08-25,11188
238,2016-08-26,10923
239,2016-08-27,11376
240,2016-08-28,11251
241,2016-08-29,10011
242,2016-08-30,9847
243,2016-08-31,9403
244,2016-09-01,9012
245,2016-09-02,8862
246,2016-09-03,22455
247,2016-09-04,11551
248,2016-09-05,8617
249,2016-09-06,9945
250,2016-09-07,8682
251,2016-09-08,7842
252,2016-09-09,9248
253,2016-09-10,10196
254,2016-09-11,9339
255,2016-09-12,7283
256,2016-09-13,6534
257,2016-09-14,7132
258,2016-09-15,10656
259,2016-09-16,8555
260,2016-09-17,7093
261,2016-09-18,5904
262,2016-09-19,5153
263,2016-09-20,5472
264,2016-09-21,5454
265,2016-09-22,5361
266,2016-09-23,5589
267,2016-09-24,6298
268,2016-09-25,5860
269,2016-09-26,4893
270,2016-09-27,4786
271,2016-09-28,4464
272,2016-09-29,4386
273,2016-09-30,5457
274,2016-10-01,7512
275,2016-10-02,7069
276,2016-10-03,6644
277,2016-10-04,6502
278,2016-10-05,6480
279,2016-10-06,5789
280,2016-10-07,5426
281,2016-10-08,4272
282,2016-10-09,3769
283,2016-10-10,3492
284,2016-10-11,3457
285,2016-10-12,3523
286,2016-10-13,3335
287,2016-10-14,3636
288,2016-10-15,3998
289,2016-10-16,4265
290,2016-10-17,3549
291,2016-10-18,3479
292,2016-10-19,3457
293,2016-10-20,3343
294,2016-10-21,3629
295,2016-10-22,3543
296,2016-10-23,3608
297,2016-10-24,3098
298,2016-10-25,3058
299,2016-10-26,2991
300,2016-10-27,3760
301,2016-10-28,3067
302,2016-10-29,3006
303,2016-10-30,2838
304,2016-10-31,2509
305,2016-11-01,2401
306,2016-11-02,2388
307,2016-11-03,2496
308,2016-11-04,2561
309,2016-11-05,2866
310,2016-11-06,2806
311,2016-11-07,2596
312,2016-11-08,2303
313,2016-11-09,2131
314,2016-11-10,1882
315,2016-11-11,1916
316,2016-11-12,2213
317,2016-11-13,2314
318,2016-11-14,2202
319,2016-11-15,2056
320,2016-11-16,1980
321,2016-11-17,2077
322,2016-11-18,2357
323,2016-11-19,2443
324,2016-11-20,2280
325,2016-11-21,2058
326,2016-11-22,1894
327,2016-11-23,1852
328,2016-11-24,1749
329,2016-11-25,1855
330,2016-11-26,1720
331,2016-11-27,1560
332,2016-11-28,1496
333,2016-11-29,1608
334,2016-11-30,1742
335,2016-12-01,1655
336,2016-12-02,1878
337,2016-12-03,2059
338,2016-12-04,2109
339,2016-12-05,1848
340,2016-12-06,1685
341,2016-12-07,7150
342,2016-12-08,4390
343,2016-12-09,3000
344,2016-12-10,2714
345,2016-12-11,2254
346,2016-12-12,2259
347,2016-12-13,2176
348,2016-12-14,2241
349,2016-12-15,3416
350,2016-12-16,3193
351,2016-12-17,3175
352,2016-12-18,2800
353,2016-12-19,2637
354,2016-12-20,2586
355,2016-12-21,2747
356,2016-12-22,2711
357,2016-12-23,2786
358,2016-12-24,2854
359,2016-12-25,2848
360,2016-12-26,2655
361,2016-12-27,2394
362,2016-12-28,2322
363,2016-12-29,2414
364,2016-12-30,2643
365,2016-12-31,2997
