任性,Date,DecryptedData
124,2015-05-05,1439
125,2015-05-06,1477
126,2015-05-07,1454
127,2015-05-08,1371
128,2015-05-09,1405
129,2015-05-10,1481
130,2015-05-11,1428
131,2015-05-12,1455
132,2015-05-13,1418
133,2015-05-14,1451
134,2015-05-15,1386
135,2015-05-16,1401
136,2015-05-17,1634
137,2015-05-18,1360
138,2015-05-19,1388
139,2015-05-20,1397
140,2015-05-21,1584
141,2015-05-22,1394
142,2015-05-23,1469
143,2015-05-24,1720
144,2015-05-25,1348
145,2015-05-26,1314
146,2015-05-27,1366
147,2015-05-28,1365
148,2015-05-29,1276
149,2015-05-30,1316
150,2015-05-31,1491
151,2015-06-01,1332
152,2015-06-02,1315
153,2015-06-03,1297
154,2015-06-04,1326
155,2015-06-05,1286
156,2015-06-06,1398
157,2015-06-07,1447
158,2015-06-08,1367
159,2015-06-09,1353
160,2015-06-10,1251
161,2015-06-11,1255
162,2015-06-12,1283
163,2015-06-13,1275
164,2015-06-14,1234
165,2015-06-15,1265
166,2015-06-16,1245
167,2015-06-17,1269
168,2015-06-18,1262
169,2015-06-19,1267
170,2015-06-20,1254
171,2015-06-21,1270
172,2015-06-22,1387
173,2015-06-23,1282
174,2015-06-24,1311
175,2015-06-25,1272
176,2015-06-26,1290
177,2015-06-27,1262
178,2015-06-28,1267
179,2015-06-29,1251
180,2015-06-30,1266
181,2015-07-01,1269
182,2015-07-02,1317
183,2015-07-03,1230
184,2015-07-04,1195
185,2015-07-05,1192
186,2015-07-06,1270
187,2015-07-07,1233
188,2015-07-08,1216
189,2015-07-09,1226
190,2015-07-10,1258
191,2015-07-11,1160
192,2015-07-12,1149
193,2015-07-13,1318
194,2015-07-14,1237
195,2015-07-15,1213
196,2015-07-16,1302
197,2015-07-17,1240
198,2015-07-18,1129
199,2015-07-19,1167
200,2015-07-20,1238
201,2015-07-21,1219
202,2015-07-22,1230
203,2015-07-23,1258
204,2015-07-24,1146
205,2015-07-25,1108
206,2015-07-26,1106
207,2015-07-27,1154
208,2015-07-28,1141
209,2015-07-29,1090
210,2015-07-30,1151
211,2015-07-31,1166
212,2015-08-01,1020
213,2015-08-02,1070
214,2015-08-03,1122
215,2015-08-04,1132
216,2015-08-05,1131
217,2015-08-06,1130
218,2015-08-07,1185
219,2015-08-08,1089
220,2015-08-09,1109
221,2015-08-10,1112
222,2015-08-11,1173
223,2015-08-12,1177
224,2015-08-13,1068
225,2015-08-14,1108
226,2015-08-15,1018
227,2015-08-16,1106
228,2015-08-17,1116
229,2015-08-18,1079
230,2015-08-19,1126
231,2015-08-20,1063
232,2015-08-21,1162
233,2015-08-22,1074
234,2015-08-23,1068
235,2015-08-24,1130
236,2015-08-25,1092
237,2015-08-26,1047
238,2015-08-27,1134
239,2015-08-28,1144
240,2015-08-29,979
241,2015-08-30,1096
242,2015-08-31,1069
243,2015-09-01,1022
244,2015-09-02,938
245,2015-09-03,836
246,2015-09-04,990
247,2015-09-05,1125
248,2015-09-06,1007
249,2015-09-07,974
250,2015-09-08,942
251,2015-09-09,1151
252,2015-09-10,1085
253,2015-09-11,1083
254,2015-09-12,1030
255,2015-09-13,1069
256,2015-09-14,934
257,2015-09-15,1041
258,2015-09-16,1037
259,2015-09-17,1097
260,2015-09-18,955
261,2015-09-19,1046
262,2015-09-20,1136
263,2015-09-21,1077
264,2015-09-22,1076
265,2015-09-23,1116
266,2015-09-24,1143
267,2015-09-25,972
268,2015-09-26,1002
269,2015-09-27,1115
270,2015-09-28,1113
271,2015-09-29,1163
272,2015-09-30,1067
273,2015-10-01,921
274,2015-10-02,967
275,2015-10-03,1071
276,2015-10-04,1094
277,2015-10-05,1161
278,2015-10-06,1145
279,2015-10-07,1168
280,2015-10-08,1165
281,2015-10-09,1098
282,2015-10-10,1056
283,2015-10-11,1112
284,2015-10-12,1121
285,2015-10-13,1055
286,2015-10-14,1127
287,2015-10-15,1168
288,2015-10-16,1012
289,2015-10-17,1051
290,2015-10-18,1153
291,2015-10-19,1039
292,2015-10-20,1109
293,2015-10-21,986
294,2015-10-22,1050
295,2015-10-23,1135
296,2015-10-24,1096
297,2015-10-25,1138
298,2015-10-26,1030
299,2015-10-27,958
300,2015-10-28,990
301,2015-10-29,1077
302,2015-10-30,842
303,2015-10-31,930
304,2015-11-01,1115
305,2015-11-02,963
306,2015-11-03,979
307,2015-11-04,989
308,2015-11-05,1155
309,2015-11-06,1021
310,2015-11-07,1037
311,2015-11-08,1158
312,2015-11-09,1019
313,2015-11-10,999
314,2015-11-11,1029
315,2015-11-12,1088
316,2015-11-13,965
317,2015-11-14,984
318,2015-11-15,1157
319,2015-11-16,933
320,2015-11-17,961
321,2015-11-18,957
322,2015-11-19,1014
323,2015-11-20,929
324,2015-11-21,982
325,2015-11-22,1103
326,2015-11-23,993
327,2015-11-24,1024
328,2015-11-25,993
329,2015-11-26,1162
330,2015-11-27,1010
331,2015-11-28,1107
332,2015-11-29,1163
333,2015-11-30,1151
334,2015-12-01,1137
335,2015-12-02,1130
336,2015-12-03,1133
337,2015-12-04,1051
338,2015-12-05,1179
339,2015-12-06,1168
340,2015-12-07,1216
341,2015-12-08,1152
342,2015-12-09,1055
343,2015-12-10,1195
344,2015-12-11,1146
345,2015-12-12,1116
346,2015-12-13,1175
347,2015-12-14,1229
348,2015-12-15,1097
349,2015-12-16,1348
350,2015-12-17,1311
351,2015-12-18,1178
352,2015-12-19,1039
353,2015-12-20,1170
354,2015-12-21,1262
355,2015-12-22,1267
356,2015-12-23,1193
357,2015-12-24,1212
358,2015-12-25,1032
359,2015-12-26,1151
360,2015-12-27,1173
361,2015-12-28,1202
362,2015-12-29,1145
363,2015-12-30,1173
364,2015-12-31,1218
