硬核,Date,DecryptedData
101,2019-04-12,2014
102,2019-04-13,1834
103,2019-04-14,1801
104,2019-04-15,1799
105,2019-04-16,1684
106,2019-04-17,1573
107,2019-04-18,1643
108,2019-04-19,1899
109,2019-04-20,1923
110,2019-04-21,1830
111,2019-04-22,1974
112,2019-04-23,1574
113,2019-04-24,1724
114,2019-04-25,1579
115,2019-04-26,2166
116,2019-04-27,1614
117,2019-04-28,1681
118,2019-04-29,1471
119,2019-04-30,1617
120,2019-05-01,1300
121,2019-05-02,1334
122,2019-05-03,1559
123,2019-05-04,1483
124,2019-05-05,1672
125,2019-05-06,1639
126,2019-05-07,1931
127,2019-05-08,1536
128,2019-05-09,1573
129,2019-05-10,1519
130,2019-05-11,1507
131,2019-05-12,1782
132,2019-05-13,2135
133,2019-05-14,1767
134,2019-05-15,1687
135,2019-05-16,1691
136,2019-05-17,1859
137,2019-05-18,1753
138,2019-05-19,1809
139,2019-05-20,1881
140,2019-05-21,1617
141,2019-05-22,1569
142,2019-05-23,1572
143,2019-05-24,1524
144,2019-05-25,1371
145,2019-05-26,1526
146,2019-05-27,2069
147,2019-05-28,1947
148,2019-05-29,1952
149,2019-05-30,1990
150,2019-05-31,1817
151,2019-06-01,1502
152,2019-06-02,1767
153,2019-06-03,2549
154,2019-06-04,2394
155,2019-06-05,2297
156,2019-06-06,1912
157,2019-06-07,1654
158,2019-06-08,1324
159,2019-06-09,1448
160,2019-06-10,1636
161,2019-06-11,2117
162,2019-06-12,1960
163,2019-06-13,1682
164,2019-06-14,1576
165,2019-06-15,1418
166,2019-06-16,1495
167,2019-06-17,1517
168,2019-06-18,1518
169,2019-06-19,1589
170,2019-06-20,1619
171,2019-06-21,1574
172,2019-06-22,1333
173,2019-06-23,1381
174,2019-06-24,1638
175,2019-06-25,1535
176,2019-06-26,1571
177,2019-06-27,1684
178,2019-06-28,1490
179,2019-06-29,1200
180,2019-06-30,1253
181,2019-07-01,1775
182,2019-07-02,1656
183,2019-07-03,1552
184,2019-07-04,1448
185,2019-07-05,1558
186,2019-07-06,1506
187,2019-07-07,1616
188,2019-07-08,1758
189,2019-07-09,1539
190,2019-07-10,1627
191,2019-07-11,1547
192,2019-07-12,1534
193,2019-07-13,1333
194,2019-07-14,1301
195,2019-07-15,1502
196,2019-07-16,1515
197,2019-07-17,1662
198,2019-07-18,1500
199,2019-07-19,1563
200,2019-07-20,1263
201,2019-07-21,1222
202,2019-07-22,1569
203,2019-07-23,1535
204,2019-07-24,1444
205,2019-07-25,1569
206,2019-07-26,1413
207,2019-07-27,1238
208,2019-07-28,1358
209,2019-07-29,1745
210,2019-07-30,1611
211,2019-07-31,1578
212,2019-08-01,1614
213,2019-08-02,1377
214,2019-08-03,1118
215,2019-08-04,1188
216,2019-08-05,1351
217,2019-08-06,1437
218,2019-08-07,1392
219,2019-08-08,1378
220,2019-08-09,1372
221,2019-08-10,1210
222,2019-08-11,1172
223,2019-08-12,1349
224,2019-08-13,1566
225,2019-08-14,1523
226,2019-08-15,1450
227,2019-08-16,1390
228,2019-08-17,1175
229,2019-08-18,1281
230,2019-08-19,1422
231,2019-08-20,1411
232,2019-08-21,1441
233,2019-08-22,1356
234,2019-08-23,1352
235,2019-08-24,1176
236,2019-08-25,1208
237,2019-08-26,1409
238,2019-08-27,1360
239,2019-08-28,1371
240,2019-08-29,1342
241,2019-08-30,1374
242,2019-08-31,1184
243,2019-09-01,1239
244,2019-09-02,1927
245,2019-09-03,1451
246,2019-09-04,1418
247,2019-09-05,1327
248,2019-09-06,1352
249,2019-09-07,1177
250,2019-09-08,1175
251,2019-09-09,1413
252,2019-09-10,1435
253,2019-09-11,1302
254,2019-09-12,1176
255,2019-09-13,1132
256,2019-09-14,1105
257,2019-09-15,1132
258,2019-09-16,1306
259,2019-09-17,1279
260,2019-09-18,1209
261,2019-09-19,1270
262,2019-09-20,1201
263,2019-09-21,1134
264,2019-09-22,1090
265,2019-09-23,1193
266,2019-09-24,1269
267,2019-09-25,1226
268,2019-09-26,1238
269,2019-09-27,1145
270,2019-09-28,1129
271,2019-09-29,1168
272,2019-09-30,1215
273,2019-10-01,1165
274,2019-10-02,1106
275,2019-10-03,1107
276,2019-10-04,1078
277,2019-10-05,1102
278,2019-10-06,1053
279,2019-10-07,1067
280,2019-10-08,1186
281,2019-10-09,1168
282,2019-10-10,1226
283,2019-10-11,1089
284,2019-10-12,1176
285,2019-10-13,1121
286,2019-10-14,1206
287,2019-10-15,1068
288,2019-10-16,999
289,2019-10-17,1048
290,2019-10-18,977
291,2019-10-19,1020
292,2019-10-20,998
293,2019-10-21,1110
294,2019-10-22,1141
295,2019-10-23,1150
296,2019-10-24,1124
297,2019-10-25,979
298,2019-10-26,929
299,2019-10-27,936
300,2019-10-28,953
301,2019-10-29,953
302,2019-10-30,1081
303,2019-10-31,1166
304,2019-11-01,1142
305,2019-11-02,1013
306,2019-11-03,1051
307,2019-11-04,1056
308,2019-11-05,1025
309,2019-11-06,943
310,2019-11-07,1077
311,2019-11-08,962
312,2019-11-09,907
313,2019-11-10,1012
314,2019-11-11,938
315,2019-11-12,1019
316,2019-11-13,995
317,2019-11-14,922
318,2019-11-15,911
319,2019-11-16,1018
320,2019-11-17,908
321,2019-11-18,970
322,2019-11-19,911
323,2019-11-20,1026
324,2019-11-21,973
325,2019-11-22,934
326,2019-11-23,903
327,2019-11-24,926
328,2019-11-25,1001
329,2019-11-26,1107
330,2019-11-27,1010
331,2019-11-28,1026
332,2019-11-29,1012
333,2019-11-30,938
334,2019-12-01,892
335,2019-12-02,1577
336,2019-12-03,2055
337,2019-12-04,1564
338,2019-12-05,1559
339,2019-12-06,1490
340,2019-12-07,1138
341,2019-12-08,1189
342,2019-12-09,1274
343,2019-12-10,1478
344,2019-12-11,1368
345,2019-12-12,1268
346,2019-12-13,1268
347,2019-12-14,1057
348,2019-12-15,1164
349,2019-12-16,1459
350,2019-12-17,1400
351,2019-12-18,1703
352,2019-12-19,1384
353,2019-12-20,1368
354,2019-12-21,2484
355,2019-12-22,1287
356,2019-12-23,1358
357,2019-12-24,1407
358,2019-12-25,1371
359,2019-12-26,1347
360,2019-12-27,1336
361,2019-12-28,1137
362,2019-12-29,1147
363,2019-12-30,1397
364,2019-12-31,1942
