饭圈,Date,DecryptedData
225,2019-08-14,3399
226,2019-08-15,6444
227,2019-08-16,9430
228,2019-08-17,5848
229,2019-08-18,14115
230,2019-08-19,11146
231,2019-08-20,3950
232,2019-08-21,2632
233,2019-08-22,1965
234,2019-08-23,1556
235,2019-08-24,1259
236,2019-08-25,1230
237,2019-08-26,1401
238,2019-08-27,1826
239,2019-08-28,1581
240,2019-08-29,1414
241,2019-08-30,1396
242,2019-08-31,1167
243,2019-09-01,1256
244,2019-09-02,1470
245,2019-09-03,1181
246,2019-09-04,1125
247,2019-09-05,1177
248,2019-09-06,1155
249,2019-09-07,1021
250,2019-09-08,1044
251,2019-09-09,1013
252,2019-09-10,1070
253,2019-09-11,974
254,2019-09-12,1067
255,2019-09-13,910
256,2019-09-14,1050
257,2019-09-15,1046
258,2019-09-16,1293
259,2019-09-17,1264
260,2019-09-18,1226
261,2019-09-19,1174
262,2019-09-20,1092
263,2019-09-21,1082
264,2019-09-22,1055
265,2019-09-23,1109
266,2019-09-24,943
267,2019-09-25,1079
268,2019-09-26,1121
269,2019-09-27,932
270,2019-09-28,875
271,2019-09-29,857
272,2019-09-30,848
273,2019-10-01,1038
274,2019-10-02,1019
275,2019-10-03,1008
276,2019-10-04,1042
277,2019-10-05,1072
278,2019-10-06,1169
279,2019-10-07,1204
280,2019-10-08,1268
281,2019-10-09,1225
282,2019-10-10,1436
283,2019-10-11,2099
284,2019-10-12,1861
285,2019-10-13,1568
286,2019-10-14,1677
287,2019-10-15,1375
288,2019-10-16,1232
289,2019-10-17,1237
290,2019-10-18,1194
291,2019-10-19,1085
292,2019-10-20,1119
293,2019-10-21,1264
294,2019-10-22,1179
295,2019-10-23,1108
296,2019-10-24,1151
297,2019-10-25,1090
298,2019-10-26,1006
299,2019-10-27,1054
300,2019-10-28,1123
301,2019-10-29,1129
302,2019-10-30,1189
303,2019-10-31,1137
304,2019-11-01,1052
305,2019-11-02,1023
306,2019-11-03,1129
307,2019-11-04,1174
308,2019-11-05,1152
309,2019-11-06,1135
310,2019-11-07,1138
311,2019-11-08,1056
312,2019-11-09,1049
313,2019-11-10,1030
314,2019-11-11,1078
315,2019-11-12,1135
316,2019-11-13,1148
317,2019-11-14,1153
318,2019-11-15,1177
319,2019-11-16,1003
320,2019-11-17,1022
321,2019-11-18,1268
322,2019-11-19,1050
323,2019-11-20,1195
324,2019-11-21,994
325,2019-11-22,1022
326,2019-11-23,949
327,2019-11-24,945
328,2019-11-25,1013
329,2019-11-26,950
330,2019-11-27,989
331,2019-11-28,874
332,2019-11-29,801
333,2019-11-30,764
334,2019-12-01,832
335,2019-12-02,1067
336,2019-12-03,1009
337,2019-12-04,1020
338,2019-12-05,918
339,2019-12-06,831
340,2019-12-07,864
341,2019-12-08,912
342,2019-12-09,887
343,2019-12-10,993
344,2019-12-11,904
345,2019-12-12,1248
346,2019-12-13,1190
347,2019-12-14,930
348,2019-12-15,1132
349,2019-12-16,1172
350,2019-12-17,1167
351,2019-12-18,1144
352,2019-12-19,1050
353,2019-12-20,929
354,2019-12-21,2268
355,2019-12-22,1159
356,2019-12-23,1182
357,2019-12-24,1060
358,2019-12-25,998
359,2019-12-26,1015
360,2019-12-27,949
361,2019-12-28,1018
362,2019-12-29,1023
363,2019-12-30,1198
364,2019-12-31,1184
