小公举,Date,DecryptedData
113,2015-04-24,470
114,2015-04-25,463
115,2015-04-26,518
116,2015-04-27,507
117,2015-04-28,595
118,2015-04-29,619
119,2015-04-30,534
120,2015-05-01,559
121,2015-05-02,616
122,2015-05-03,716
123,2015-05-04,719
124,2015-05-05,696
125,2015-05-06,649
126,2015-05-07,603
127,2015-05-08,803
128,2015-05-09,808
129,2015-05-10,839
130,2015-05-11,655
131,2015-05-12,716
132,2015-05-13,723
133,2015-05-14,1191
134,2015-05-15,1048
135,2015-05-16,940
136,2015-05-17,803
137,2015-05-18,817
138,2015-05-19,1087
139,2015-05-20,1236
140,2015-05-21,1111
141,2015-05-22,1049
142,2015-05-23,1109
143,2015-05-24,1251
144,2015-05-25,1131
145,2015-05-26,1168
146,2015-05-27,1246
147,2015-05-28,1386
148,2015-05-29,1259
149,2015-05-30,1254
150,2015-05-31,1320
151,2015-06-01,1425
152,2015-06-02,1274
153,2015-06-03,1405
154,2015-06-04,1310
155,2015-06-05,1835
156,2015-06-06,1523
157,2015-06-07,1655
158,2015-06-08,1614
159,2015-06-09,1548
160,2015-06-10,1608
161,2015-06-11,1677
162,2015-06-12,2252
163,2015-06-13,2119
164,2015-06-14,2426
165,2015-06-15,2182
166,2015-06-16,2072
167,2015-06-17,1924
168,2015-06-18,1938
169,2015-06-19,1903
170,2015-06-20,2016
171,2015-06-21,2124
172,2015-06-22,2108
173,2015-06-23,2083
174,2015-06-24,2102
175,2015-06-25,2206
176,2015-06-26,2637
177,2015-06-27,2709
178,2015-06-28,2910
179,2015-06-29,2524
180,2015-06-30,2892
181,2015-07-01,2971
182,2015-07-02,3469
183,2015-07-03,2814
184,2015-07-04,2860
185,2015-07-05,3000
186,2015-07-06,2988
187,2015-07-07,2968
188,2015-07-08,2925
189,2015-07-09,3430
190,2015-07-10,3987
191,2015-07-11,3934
192,2015-07-12,4334
193,2015-07-13,5112
194,2015-07-14,6069
195,2015-07-15,4726
196,2015-07-16,4604
197,2015-07-17,9003
198,2015-07-18,26810
199,2015-07-19,21569
200,2015-07-20,19904
201,2015-07-21,15096
202,2015-07-22,11910
203,2015-07-23,11112
204,2015-07-24,12905
205,2015-07-25,16324
206,2015-07-26,11730
207,2015-07-27,10357
208,2015-07-28,10311
209,2015-07-29,9522
210,2015-07-30,9503
211,2015-07-31,10641
212,2015-08-01,10930
213,2015-08-02,8902
214,2015-08-03,8170
215,2015-08-04,8930
216,2015-08-05,10388
217,2015-08-06,8691
218,2015-08-07,9603
219,2015-08-08,9875
220,2015-08-09,9959
221,2015-08-10,8375
222,2015-08-11,8288
223,2015-08-12,7447
224,2015-08-13,6429
225,2015-08-14,7516
226,2015-08-15,7901
227,2015-08-16,8086
228,2015-08-17,7447
229,2015-08-18,7009
230,2015-08-19,6497
231,2015-08-20,7102
232,2015-08-21,6909
233,2015-08-22,6867
234,2015-08-23,6709
235,2015-08-24,5836
236,2015-08-25,5639
237,2015-08-26,5421
238,2015-08-27,5376
239,2015-08-28,6647
240,2015-08-29,6116
241,2015-08-30,4910
242,2015-08-31,4336
243,2015-09-01,3770
244,2015-09-02,4333
245,2015-09-03,4119
246,2015-09-04,4997
247,2015-09-05,5014
248,2015-09-06,6647
249,2015-09-07,8221
250,2015-09-08,5682
251,2015-09-09,4998
252,2015-09-10,4699
253,2015-09-11,4439
254,2015-09-12,4729
255,2015-09-13,4233
256,2015-09-14,3619
257,2015-09-15,3964
258,2015-09-16,3365
259,2015-09-17,3012
260,2015-09-18,3618
261,2015-09-19,4833
262,2015-09-20,4641
263,2015-09-21,3944
264,2015-09-22,3864
265,2015-09-23,3801
266,2015-09-24,3762
267,2015-09-25,4241
268,2015-09-26,4151
269,2015-09-27,3861
270,2015-09-28,3379
271,2015-09-29,3816
272,2015-09-30,3540
273,2015-10-01,3495
274,2015-10-02,3461
275,2015-10-03,3433
276,2015-10-04,3599
277,2015-10-05,3585
278,2015-10-06,3557
279,2015-10-07,3922
280,2015-10-08,4165
281,2015-10-09,3473
282,2015-10-10,4838
283,2015-10-11,4818
284,2015-10-12,3470
285,2015-10-13,3267
286,2015-10-14,3138
287,2015-10-15,3209
288,2015-10-16,4251
289,2015-10-17,6270
290,2015-10-18,5039
291,2015-10-19,4081
292,2015-10-20,4531
293,2015-10-21,3721
294,2015-10-22,3338
295,2015-10-23,3750
296,2015-10-24,3644
297,2015-10-25,3233
298,2015-10-26,2829
299,2015-10-27,2625
300,2015-10-28,2562
301,2015-10-29,2474
302,2015-10-30,2647
303,2015-10-31,3236
304,2015-11-01,3167
305,2015-11-02,2542
306,2015-11-03,2746
307,2015-11-04,2754
308,2015-11-05,2870
309,2015-11-06,3060
310,2015-11-07,3083
311,2015-11-08,3063
312,2015-11-09,2514
313,2015-11-10,2660
314,2015-11-11,2306
315,2015-11-12,2525
316,2015-11-13,2822
317,2015-11-14,3317
318,2015-11-15,3211
319,2015-11-16,2773
320,2015-11-17,2741
321,2015-11-18,2533
322,2015-11-19,2537
323,2015-11-20,2430
324,2015-11-21,2608
325,2015-11-22,2573
326,2015-11-23,2343
327,2015-11-24,2403
328,2015-11-25,2456
329,2015-11-26,2270
330,2015-11-27,2259
331,2015-11-28,2712
332,2015-11-29,2527
333,2015-11-30,2291
334,2015-12-01,2321
335,2015-12-02,2074
336,2015-12-03,2130
337,2015-12-04,2199
338,2015-12-05,2447
339,2015-12-06,2660
340,2015-12-07,2560
341,2015-12-08,2420
342,2015-12-09,2317
343,2015-12-10,2403
344,2015-12-11,2269
345,2015-12-12,2438
346,2015-12-13,2541
347,2015-12-14,2152
348,2015-12-15,2180
349,2015-12-16,2284
350,2015-12-17,2272
351,2015-12-18,2349
352,2015-12-19,2398
353,2015-12-20,2592
354,2015-12-21,2325
355,2015-12-22,2108
356,2015-12-23,2237
357,2015-12-24,2171
358,2015-12-25,2111
359,2015-12-26,2081
360,2015-12-27,2340
361,2015-12-28,2022
362,2015-12-29,1960
363,2015-12-30,1919
364,2015-12-31,2329
