what are you 弄啥嘞,Date,DecryptedData
139,2015-05-20,1089
140,2015-05-21,1113
141,2015-05-22,1107
142,2015-05-23,1169
143,2015-05-24,1157
144,2015-05-25,1101
145,2015-05-26,1097
146,2015-05-27,1055
147,2015-05-28,1038
148,2015-05-29,1110
149,2015-05-30,2144
150,2015-05-31,2624
151,2015-06-01,2278
152,2015-06-02,2443
153,2015-06-03,2056
154,2015-06-04,2064
155,2015-06-05,2044
156,2015-06-06,4788
157,2015-06-07,4910
158,2015-06-08,4397
159,2015-06-09,4187
160,2015-06-10,3775
161,2015-06-11,3437
162,2015-06-12,3634
163,2015-06-13,8531
164,2015-06-14,9229
165,2015-06-15,7235
166,2015-06-16,6127
167,2015-06-17,5243
168,2015-06-18,5821
169,2015-06-19,5010
170,2015-06-20,5251
171,2015-06-21,5256
172,2015-06-22,5251
173,2015-06-23,4762
174,2015-06-24,4341
175,2015-06-25,3919
176,2015-06-26,5569
177,2015-06-27,6813
178,2015-06-28,5662
179,2015-06-29,4907
180,2015-06-30,4661
181,2015-07-01,4646
182,2015-07-02,4561
183,2015-07-03,4269
184,2015-07-04,4809
185,2015-07-05,5090
186,2015-07-06,4681
187,2015-07-07,4569
188,2015-07-08,4518
189,2015-07-09,4451
190,2015-07-10,4189
191,2015-07-11,4067
192,2015-07-12,3613
193,2015-07-13,3703
194,2015-07-14,3840
195,2015-07-15,3561
196,2015-07-16,3381
197,2015-07-17,3314
198,2015-07-18,2852
199,2015-07-19,2813
200,2015-07-20,2856
201,2015-07-21,2952
202,2015-07-22,3142
203,2015-07-23,3026
204,2015-07-24,2784
205,2015-07-25,2675
206,2015-07-26,2449
207,2015-07-27,2423
208,2015-07-28,2460
209,2015-07-29,2492
210,2015-07-30,3296
211,2015-07-31,2643
212,2015-08-01,2348
213,2015-08-02,2232
214,2015-08-03,2429
215,2015-08-04,2400
216,2015-08-05,3535
217,2015-08-06,3146
218,2015-08-07,2696
219,2015-08-08,2365
220,2015-08-09,2196
221,2015-08-10,2206
222,2015-08-11,2106
223,2015-08-12,2298
224,2015-08-13,1795
225,2015-08-14,1975
226,2015-08-15,1754
227,2015-08-16,1781
228,2015-08-17,1844
229,2015-08-18,1929
230,2015-08-19,1939
231,2015-08-20,1903
232,2015-08-21,1924
233,2015-08-22,1742
234,2015-08-23,1630
235,2015-08-24,1807
236,2015-08-25,1796
237,2015-08-26,1729
238,2015-08-27,1703
239,2015-08-28,1973
240,2015-08-29,1851
241,2015-08-30,1660
242,2015-08-31,1576
243,2015-09-01,1481
244,2015-09-02,1421
245,2015-09-03,1274
246,2015-09-04,1354
247,2015-09-05,1303
248,2015-09-06,1368
249,2015-09-07,1405
250,2015-09-08,1491
251,2015-09-09,1366
252,2015-09-10,1341
253,2015-09-11,1315
254,2015-09-12,1319
255,2015-09-13,1305
256,2015-09-14,1341
257,2015-09-15,1397
258,2015-09-16,1386
259,2015-09-17,1384
260,2015-09-18,1312
261,2015-09-19,1312
262,2015-09-20,1287
263,2015-09-21,1288
264,2015-09-22,1334
265,2015-09-23,1323
266,2015-09-24,1259
267,2015-09-25,1207
268,2015-09-26,1158
269,2015-09-27,1148
270,2015-09-28,1141
271,2015-09-29,1150
272,2015-09-30,1173
273,2015-10-01,1138
274,2015-10-02,1102
275,2015-10-03,1103
276,2015-10-04,1064
277,2015-10-05,1167
278,2015-10-06,1135
279,2015-10-07,1137
280,2015-10-08,1190
281,2015-10-09,1179
282,2015-10-10,1124
283,2015-10-11,1132
284,2015-10-12,1137
285,2015-10-13,1170
286,2015-10-14,1144
287,2015-10-15,1173
288,2015-10-16,1166
289,2015-10-17,1091
290,2015-10-18,1113
291,2015-10-19,1062
292,2015-10-20,1064
293,2015-10-21,1048
294,2015-10-22,1150
295,2015-10-23,1084
296,2015-10-24,1110
297,2015-10-25,1083
298,2015-10-26,1050
299,2015-10-27,1047
300,2015-10-28,1012
301,2015-10-29,1010
302,2015-10-30,983
303,2015-10-31,1108
304,2015-11-01,1103
305,2015-11-02,1047
306,2015-11-03,1172
307,2015-11-04,1235
308,2015-11-05,1225
309,2015-11-06,1190
310,2015-11-07,1323
311,2015-11-08,1307
312,2015-11-09,1376
313,2015-11-10,1351
314,2015-11-11,1295
315,2015-11-12,1296
316,2015-11-13,1262
317,2015-11-14,1267
318,2015-11-15,1250
319,2015-11-16,1289
320,2015-11-17,1304
321,2015-11-18,1271
322,2015-11-19,1273
323,2015-11-20,1266
324,2015-11-21,1236
325,2015-11-22,1216
326,2015-11-23,1229
327,2015-11-24,1188
328,2015-11-25,1207
329,2015-11-26,1149
330,2015-11-27,1124
331,2015-11-28,1142
332,2015-11-29,1098
333,2015-11-30,1177
334,2015-12-01,1145
335,2015-12-02,1148
336,2015-12-03,1199
337,2015-12-04,1049
338,2015-12-05,1173
339,2015-12-06,1138
340,2015-12-07,1216
341,2015-12-08,1212
342,2015-12-09,1178
343,2015-12-10,1189
344,2015-12-11,1213
345,2015-12-12,1133
346,2015-12-13,1149
347,2015-12-14,1196
348,2015-12-15,1170
349,2015-12-16,1125
350,2015-12-17,1155
351,2015-12-18,1101
352,2015-12-19,1108
353,2015-12-20,1110
354,2015-12-21,1123
355,2015-12-22,1144
356,2015-12-23,1142
357,2015-12-24,1084
358,2015-12-25,1037
359,2015-12-26,1076
360,2015-12-27,996
361,2015-12-28,1104
362,2015-12-29,1080
363,2015-12-30,980
364,2015-12-31,1044
