且行且珍惜,Date,DecryptedData
281,2014-10-09,1761
282,2014-10-10,1868
283,2014-10-11,1854
284,2014-10-12,2018
285,2014-10-13,1677
286,2014-10-14,1616
287,2014-10-15,1669
288,2014-10-16,1778
289,2014-10-17,1653
290,2014-10-18,1668
291,2014-10-19,1754
292,2014-10-20,1798
293,2014-10-21,1706
294,2014-10-22,1801
295,2014-10-23,1796
296,2014-10-24,1640
297,2014-10-25,1715
298,2014-10-26,1822
299,2014-10-27,1597
300,2014-10-28,1737
301,2014-10-29,2149
302,2014-10-30,1835
303,2014-10-31,1730
304,2014-11-01,1698
305,2014-11-02,1834
306,2014-11-03,2060
307,2014-11-04,2207
308,2014-11-05,2323
309,2014-11-06,2149
310,2014-11-07,2054
311,2014-11-08,2049
312,2014-11-09,2031
313,2014-11-10,1760
314,2014-11-11,1718
315,2014-11-12,1761
316,2014-11-13,1681
317,2014-11-14,1723
318,2014-11-15,1786
319,2014-11-16,1861
320,2014-11-17,2177
321,2014-11-18,1757
322,2014-11-19,1670
323,2014-11-20,1735
324,2014-11-21,1695
325,2014-11-22,2096
326,2014-11-23,2158
327,2014-11-24,1933
328,2014-11-25,1886
329,2014-11-26,1854
330,2014-11-27,1881
331,2014-11-28,1613
332,2014-11-29,1777
333,2014-11-30,1910
334,2014-12-01,1763
335,2014-12-02,1840
336,2014-12-03,1892
337,2014-12-04,1854
338,2014-12-05,1888
339,2014-12-06,2098
340,2014-12-07,2669
341,2014-12-08,2396
342,2014-12-09,2253
343,2014-12-10,2298
344,2014-12-11,2066
345,2014-12-12,1985
346,2014-12-13,1956
347,2014-12-14,2133
348,2014-12-15,2048
349,2014-12-16,2028
350,2014-12-17,2060
351,2014-12-18,2073
352,2014-12-19,2230
353,2014-12-20,2318
354,2014-12-21,2196
355,2014-12-22,1988
356,2014-12-23,2035
357,2014-12-24,1917
358,2014-12-25,1886
359,2014-12-26,1984
360,2014-12-27,2054
361,2014-12-28,2204
362,2014-12-29,2590
363,2014-12-30,2330
364,2014-12-31,2807
