财富密码,Date,DecryptedData
94,2020-04-04,460
95,2020-04-05,528
96,2020-04-06,599
97,2020-04-07,679
98,2020-04-08,649
99,2020-04-09,734
100,2020-04-10,822
101,2020-04-11,793
102,2020-04-12,817
103,2020-04-13,842
104,2020-04-14,860
105,2020-04-15,771
106,2020-04-16,926
107,2020-04-17,1424
108,2020-04-18,999
109,2020-04-19,965
110,2020-04-20,1013
111,2020-04-21,1130
112,2020-04-22,1246
113,2020-04-23,1060
114,2020-04-24,1149
115,2020-04-25,1097
116,2020-04-26,1138
117,2020-04-27,998
118,2020-04-28,1131
119,2020-04-29,1349
120,2020-04-30,1330
121,2020-05-01,1251
122,2020-05-02,1243
123,2020-05-03,1222
124,2020-05-04,1268
125,2020-05-05,1422
126,2020-05-06,1350
127,2020-05-07,1285
128,2020-05-08,1270
129,2020-05-09,1221
130,2020-05-10,1212
131,2020-05-11,1163
132,2020-05-12,1055
133,2020-05-13,1262
134,2020-05-14,1347
135,2020-05-15,1108
136,2020-05-16,1174
137,2020-05-17,1192
138,2020-05-18,980
139,2020-05-19,1165
140,2020-05-20,1037
141,2020-05-21,1069
142,2020-05-22,1022
143,2020-05-23,1043
144,2020-05-24,1127
145,2020-05-25,1171
146,2020-05-26,1172
147,2020-05-27,1201
148,2020-05-28,1287
149,2020-05-29,1188
150,2020-05-30,1354
151,2020-05-31,1247
152,2020-06-01,1214
153,2020-06-02,1232
154,2020-06-03,1181
155,2020-06-04,1438
156,2020-06-05,1106
157,2020-06-06,980
158,2020-06-07,965
159,2020-06-08,892
160,2020-06-09,787
161,2020-06-10,777
162,2020-06-11,704
163,2020-06-12,630
164,2020-06-13,631
165,2020-06-14,692
166,2020-06-15,675
167,2020-06-16,659
168,2020-06-17,577
169,2020-06-18,537
170,2020-06-19,611
171,2020-06-20,612
172,2020-06-21,638
173,2020-06-22,784
174,2020-06-23,663
175,2020-06-24,588
176,2020-06-25,647
177,2020-06-26,619
178,2020-06-27,592
179,2020-06-28,577
180,2020-06-29,663
181,2020-06-30,615
182,2020-07-01,529
183,2020-07-02,603
184,2020-07-03,541
185,2020-07-04,510
186,2020-07-05,501
187,2020-07-06,532
188,2020-07-07,541
189,2020-07-08,513
190,2020-07-09,562
191,2020-07-10,548
192,2020-07-11,466
193,2020-07-12,444
194,2020-07-13,554
195,2020-07-14,489
196,2020-07-15,506
197,2020-07-16,453
198,2020-07-17,443
199,2020-07-18,423
200,2020-07-19,418
201,2020-07-20,435
202,2020-07-21,537
203,2020-07-22,459
204,2020-07-23,473
205,2020-07-24,425
206,2020-07-25,439
207,2020-07-26,447
208,2020-07-27,457
209,2020-07-28,486
210,2020-07-29,442
211,2020-07-30,412
212,2020-07-31,437
213,2020-08-01,389
214,2020-08-02,447
215,2020-08-03,526
216,2020-08-04,492
217,2020-08-05,501
218,2020-08-06,502
219,2020-08-07,428
220,2020-08-08,379
221,2020-08-09,399
222,2020-08-10,379
223,2020-08-11,360
224,2020-08-12,424
225,2020-08-13,389
226,2020-08-14,394
227,2020-08-15,373
228,2020-08-16,375
229,2020-08-17,373
230,2020-08-18,374
231,2020-08-19,373
232,2020-08-20,396
233,2020-08-21,379
234,2020-08-22,282
235,2020-08-23,342
236,2020-08-24,361
237,2020-08-25,364
238,2020-08-26,426
239,2020-08-27,394
240,2020-08-28,401
241,2020-08-29,381
242,2020-08-30,368
243,2020-08-31,346
244,2020-09-01,351
245,2020-09-02,280
246,2020-09-03,340
247,2020-09-04,454
248,2020-09-05,402
249,2020-09-06,354
250,2020-09-07,358
251,2020-09-08,308
252,2020-09-09,296
253,2020-09-10,298
254,2020-09-11,302
255,2020-09-12,298
256,2020-09-13,340
257,2020-09-14,315
258,2020-09-15,349
259,2020-09-16,335
260,2020-09-17,334
261,2020-09-18,303
262,2020-09-19,303
263,2020-09-20,326
264,2020-09-21,309
265,2020-09-22,295
266,2020-09-23,339
267,2020-09-24,309
268,2020-09-25,333
269,2020-09-26,295
270,2020-09-27,366
271,2020-09-28,347
272,2020-09-29,385
273,2020-09-30,318
274,2020-10-01,321
275,2020-10-02,342
276,2020-10-03,327
277,2020-10-04,342
278,2020-10-05,394
279,2020-10-06,399
280,2020-10-07,366
281,2020-10-08,363
282,2020-10-09,341
283,2020-10-10,353
284,2020-10-11,316
285,2020-10-12,358
286,2020-10-13,326
287,2020-10-14,307
288,2020-10-15,314
289,2020-10-16,279
290,2020-10-17,293
291,2020-10-18,282
292,2020-10-19,384
293,2020-10-20,358
294,2020-10-21,282
295,2020-10-22,306
296,2020-10-23,279
297,2020-10-24,297
298,2020-10-25,260
299,2020-10-26,324
300,2020-10-27,273
301,2020-10-28,291
302,2020-10-29,299
303,2020-10-30,319
304,2020-10-31,278
305,2020-11-01,258
306,2020-11-02,279
307,2020-11-03,289
308,2020-11-04,271
309,2020-11-05,244
310,2020-11-06,275
311,2020-11-07,234
312,2020-11-08,267
313,2020-11-09,325
314,2020-11-10,293
315,2020-11-11,297
316,2020-11-12,298
317,2020-11-13,281
318,2020-11-14,259
319,2020-11-15,288
320,2020-11-16,286
321,2020-11-17,262
322,2020-11-18,307
323,2020-11-19,288
324,2020-11-20,257
325,2020-11-21,244
326,2020-11-22,250
327,2020-11-23,261
328,2020-11-24,280
329,2020-11-25,288
330,2020-11-26,278
331,2020-11-27,296
332,2020-11-28,274
333,2020-11-29,271
334,2020-11-30,309
335,2020-12-01,269
336,2020-12-02,292
337,2020-12-03,305
338,2020-12-04,298
339,2020-12-05,259
340,2020-12-06,270
341,2020-12-07,272
342,2020-12-08,262
343,2020-12-09,264
344,2020-12-10,288
345,2020-12-11,257
346,2020-12-12,258
347,2020-12-13,259
348,2020-12-14,259
349,2020-12-15,271
350,2020-12-16,269
351,2020-12-17,295
352,2020-12-18,267
353,2020-12-19,248
354,2020-12-20,258
355,2020-12-21,289
356,2020-12-22,272
357,2020-12-23,309
358,2020-12-24,278
359,2020-12-25,265
360,2020-12-26,253
361,2020-12-27,239
362,2020-12-28,361
363,2020-12-29,306
364,2020-12-30,263
365,2020-12-31,237
