妈的智障,Date,DecryptedData
175,2016-06-24,1583
176,2016-06-25,1437
177,2016-06-26,1391
178,2016-06-27,1499
179,2016-06-28,1522
180,2016-06-29,1561
181,2016-06-30,1593
182,2016-07-01,1748
183,2016-07-02,1571
184,2016-07-03,1499
185,2016-07-04,1756
186,2016-07-05,1678
187,2016-07-06,1709
188,2016-07-07,1745
189,2016-07-08,1696
190,2016-07-09,1586
191,2016-07-10,1484
192,2016-07-11,1754
193,2016-07-12,1805
194,2016-07-13,1734
195,2016-07-14,1664
196,2016-07-15,1678
197,2016-07-16,1529
198,2016-07-17,1452
199,2016-07-18,1624
200,2016-07-19,1710
201,2016-07-20,1631
202,2016-07-21,1692
203,2016-07-22,1603
204,2016-07-23,1323
205,2016-07-24,1428
206,2016-07-25,1605
207,2016-07-26,1636
208,2016-07-27,1589
209,2016-07-28,1538
210,2016-07-29,1781
211,2016-07-30,1735
212,2016-07-31,1711
213,2016-08-01,1844
214,2016-08-02,1802
215,2016-08-03,1792
216,2016-08-04,1797
217,2016-08-05,1787
218,2016-08-06,1523
219,2016-08-07,1463
220,2016-08-08,1648
221,2016-08-09,1648
222,2016-08-10,1627
223,2016-08-11,1542
224,2016-08-12,1498
225,2016-08-13,1372
226,2016-08-14,1301
227,2016-08-15,1497
228,2016-08-16,1468
229,2016-08-17,1461
230,2016-08-18,1418
231,2016-08-19,1460
232,2016-08-20,1301
233,2016-08-21,1341
234,2016-08-22,1442
235,2016-08-23,1434
236,2016-08-24,1411
237,2016-08-25,1478
238,2016-08-26,1467
239,2016-08-27,1273
240,2016-08-28,1267
241,2016-08-29,1401
242,2016-08-30,1355
243,2016-08-31,1320
244,2016-09-01,1142
245,2016-09-02,1406
246,2016-09-03,1318
247,2016-09-04,1188
248,2016-09-05,1178
249,2016-09-06,1095
250,2016-09-07,1210
251,2016-09-08,1019
252,2016-09-09,1094
253,2016-09-10,1135
254,2016-09-11,1073
255,2016-09-12,1121
256,2016-09-13,1160
257,2016-09-14,1274
258,2016-09-15,1180
259,2016-09-16,1202
260,2016-09-17,1226
261,2016-09-18,1055
262,2016-09-19,1059
263,2016-09-20,1058
264,2016-09-21,1080
265,2016-09-22,1083
266,2016-09-23,1057
267,2016-09-24,1346
268,2016-09-25,1948
269,2016-09-26,1345
270,2016-09-27,1338
271,2016-09-28,1240
272,2016-09-29,1247
273,2016-09-30,1146
274,2016-10-01,1138
275,2016-10-02,1162
276,2016-10-03,1239
277,2016-10-04,1235
278,2016-10-05,1230
279,2016-10-06,1227
280,2016-10-07,1133
281,2016-10-08,1003
282,2016-10-09,1006
283,2016-10-10,931
284,2016-10-11,1255
285,2016-10-12,1243
286,2016-10-13,1246
287,2016-10-14,1008
288,2016-10-15,1096
289,2016-10-16,1161
290,2016-10-17,976
291,2016-10-18,972
292,2016-10-19,1070
293,2016-10-20,996
294,2016-10-21,984
295,2016-10-22,1158
296,2016-10-23,1049
297,2016-10-24,1006
298,2016-10-25,926
299,2016-10-26,935
300,2016-10-27,1041
301,2016-10-28,898
302,2016-10-29,941
303,2016-10-30,1304
304,2016-10-31,1210
305,2016-11-01,962
306,2016-11-02,934
307,2016-11-03,922
308,2016-11-04,954
309,2016-11-05,923
310,2016-11-06,972
311,2016-11-07,914
312,2016-11-08,861
313,2016-11-09,861
314,2016-11-10,781
315,2016-11-11,796
316,2016-11-12,827
317,2016-11-13,832
318,2016-11-14,722
319,2016-11-15,840
320,2016-11-16,818
321,2016-11-17,757
322,2016-11-18,890
323,2016-11-19,930
324,2016-11-20,867
325,2016-11-21,816
326,2016-11-22,845
327,2016-11-23,805
328,2016-11-24,866
329,2016-11-25,924
330,2016-11-26,892
331,2016-11-27,812
332,2016-11-28,774
333,2016-11-29,752
334,2016-11-30,920
335,2016-12-01,830
336,2016-12-02,813
337,2016-12-03,861
338,2016-12-04,1040
339,2016-12-05,1021
340,2016-12-06,921
341,2016-12-07,837
342,2016-12-08,823
343,2016-12-09,878
344,2016-12-10,796
345,2016-12-11,785
346,2016-12-12,806
347,2016-12-13,748
348,2016-12-14,731
349,2016-12-15,697
350,2016-12-16,730
351,2016-12-17,760
352,2016-12-18,1063
353,2016-12-19,1200
354,2016-12-20,1142
355,2016-12-21,1059
356,2016-12-22,888
357,2016-12-23,856
358,2016-12-24,769
359,2016-12-25,786
360,2016-12-26,766
361,2016-12-27,753
362,2016-12-28,807
363,2016-12-29,711
364,2016-12-30,727
365,2016-12-31,709
