友谊的小船说翻就翻,Date,DecryptedData
179,2016-06-28,2659
180,2016-06-29,2551
181,2016-06-30,2418
182,2016-07-01,2563
183,2016-07-02,2266
184,2016-07-03,2270
185,2016-07-04,2327
186,2016-07-05,2292
187,2016-07-06,2221
188,2016-07-07,2355
189,2016-07-08,2136
190,2016-07-09,2029
191,2016-07-10,1967
192,2016-07-11,2075
193,2016-07-12,1981
194,2016-07-13,1860
195,2016-07-14,1827
196,2016-07-15,1873
197,2016-07-16,1570
198,2016-07-17,1453
199,2016-07-18,1620
200,2016-07-19,1664
201,2016-07-20,1670
202,2016-07-21,1700
203,2016-07-22,1767
204,2016-07-23,1490
205,2016-07-24,1503
206,2016-07-25,1588
207,2016-07-26,1559
208,2016-07-27,1438
209,2016-07-28,1483
210,2016-07-29,1626
211,2016-07-30,1488
212,2016-07-31,1494
213,2016-08-01,1566
214,2016-08-02,1555
215,2016-08-03,1414
216,2016-08-04,1487
217,2016-08-05,1479
218,2016-08-06,1206
219,2016-08-07,1237
220,2016-08-08,1335
221,2016-08-09,1398
222,2016-08-10,1327
223,2016-08-11,1293
224,2016-08-12,1264
225,2016-08-13,1185
226,2016-08-14,1185
227,2016-08-15,1244
228,2016-08-16,1235
229,2016-08-17,1182
230,2016-08-18,1217
231,2016-08-19,1202
232,2016-08-20,1146
233,2016-08-21,1078
234,2016-08-22,1188
235,2016-08-23,1166
236,2016-08-24,1166
237,2016-08-25,1144
238,2016-08-26,1323
239,2016-08-27,1084
240,2016-08-28,1080
241,2016-08-29,1186
242,2016-08-30,1172
243,2016-08-31,1151
244,2016-09-01,1064
245,2016-09-02,1168
246,2016-09-03,1054
247,2016-09-04,1062
248,2016-09-05,1080
249,2016-09-06,934
250,2016-09-07,960
251,2016-09-08,976
252,2016-09-09,982
253,2016-09-10,989
254,2016-09-11,1000
255,2016-09-12,1011
256,2016-09-13,1067
257,2016-09-14,960
258,2016-09-15,1030
259,2016-09-16,1110
260,2016-09-17,1066
261,2016-09-18,982
262,2016-09-19,972
263,2016-09-20,926
264,2016-09-21,1016
265,2016-09-22,1021
266,2016-09-23,969
267,2016-09-24,1111
268,2016-09-25,1108
269,2016-09-26,1103
270,2016-09-27,958
271,2016-09-28,878
272,2016-09-29,1041
273,2016-09-30,877
274,2016-10-01,849
275,2016-10-02,828
276,2016-10-03,902
277,2016-10-04,920
278,2016-10-05,864
279,2016-10-06,943
280,2016-10-07,1039
281,2016-10-08,825
282,2016-10-09,857
283,2016-10-10,851
284,2016-10-11,883
285,2016-10-12,839
286,2016-10-13,883
287,2016-10-14,884
288,2016-10-15,930
289,2016-10-16,992
290,2016-10-17,928
291,2016-10-18,1053
292,2016-10-19,1015
293,2016-10-20,1017
294,2016-10-21,1030
295,2016-10-22,1001
296,2016-10-23,1112
297,2016-10-24,1135
298,2016-10-25,1177
299,2016-10-26,1175
300,2016-10-27,1157
301,2016-10-28,1097
302,2016-10-29,1034
303,2016-10-30,1077
304,2016-10-31,1022
305,2016-11-01,1037
306,2016-11-02,969
307,2016-11-03,949
308,2016-11-04,992
309,2016-11-05,1053
310,2016-11-06,1057
311,2016-11-07,936
312,2016-11-08,1107
313,2016-11-09,963
314,2016-11-10,908
315,2016-11-11,896
316,2016-11-12,952
317,2016-11-13,1032
318,2016-11-14,904
319,2016-11-15,907
320,2016-11-16,999
321,2016-11-17,854
322,2016-11-18,927
323,2016-11-19,912
324,2016-11-20,1081
325,2016-11-21,941
326,2016-11-22,854
327,2016-11-23,854
328,2016-11-24,807
329,2016-11-25,796
330,2016-11-26,802
331,2016-11-27,891
332,2016-11-28,724
333,2016-11-29,786
334,2016-11-30,709
335,2016-12-01,739
336,2016-12-02,791
337,2016-12-03,865
338,2016-12-04,932
339,2016-12-05,790
340,2016-12-06,782
341,2016-12-07,792
342,2016-12-08,823
343,2016-12-09,751
344,2016-12-10,700
345,2016-12-11,753
346,2016-12-12,709
347,2016-12-13,785
348,2016-12-14,770
349,2016-12-15,1453
350,2016-12-16,1209
351,2016-12-17,1115
352,2016-12-18,1107
353,2016-12-19,1098
354,2016-12-20,1105
355,2016-12-21,923
356,2016-12-22,985
357,2016-12-23,966
358,2016-12-24,929
359,2016-12-25,925
360,2016-12-26,909
361,2016-12-27,875
362,2016-12-28,981
363,2016-12-29,940
364,2016-12-30,937
365,2016-12-31,973
