洪荒之力,Date,DecryptedData
118,2016-04-28,1471
119,2016-04-29,1564
120,2016-04-30,1330
121,2016-05-01,1316
122,2016-05-02,1370
123,2016-05-03,1341
124,2016-05-04,1376
125,2016-05-05,1378
126,2016-05-06,1398
127,2016-05-07,1319
128,2016-05-08,1314
129,2016-05-09,1413
130,2016-05-10,1372
131,2016-05-11,1378
132,2016-05-12,1447
133,2016-05-13,1375
134,2016-05-14,1363
135,2016-05-15,1352
136,2016-05-16,1361
137,2016-05-17,1431
138,2016-05-18,1392
139,2016-05-19,1473
140,2016-05-20,1458
141,2016-05-21,1542
142,2016-05-22,1631
143,2016-05-23,1654
144,2016-05-24,1724
145,2016-05-25,1602
146,2016-05-26,1765
147,2016-05-27,1737
148,2016-05-28,1494
149,2016-05-29,1483
150,2016-05-30,1571
151,2016-05-31,1721
152,2016-06-01,1703
153,2016-06-02,1660
154,2016-06-03,1729
155,2016-06-04,1524
156,2016-06-05,1574
157,2016-06-06,1667
158,2016-06-07,1682
159,2016-06-08,1531
160,2016-06-09,1346
161,2016-06-10,1317
162,2016-06-11,1548
163,2016-06-12,1681
164,2016-06-13,1721
165,2016-06-14,1810
166,2016-06-15,2395
167,2016-06-16,3133
168,2016-06-17,2583
169,2016-06-18,2045
170,2016-06-19,1972
171,2016-06-20,2482
172,2016-06-21,2694
173,2016-06-22,2504
174,2016-06-23,2457
175,2016-06-24,2161
176,2016-06-25,1797
177,2016-06-26,1724
178,2016-06-27,2197
179,2016-06-28,2477
180,2016-06-29,2661
181,2016-06-30,2433
182,2016-07-01,2274
183,2016-07-02,1940
184,2016-07-03,2027
185,2016-07-04,2192
186,2016-07-05,2219
187,2016-07-06,2367
188,2016-07-07,2339
189,2016-07-08,2197
190,2016-07-09,2384
191,2016-07-10,1954
192,2016-07-11,2483
193,2016-07-12,2368
194,2016-07-13,2454
195,2016-07-14,2188
196,2016-07-15,2131
197,2016-07-16,1670
198,2016-07-17,1697
199,2016-07-18,1947
200,2016-07-19,1939
201,2016-07-20,1999
202,2016-07-21,1930
203,2016-07-22,1955
204,2016-07-23,1680
205,2016-07-24,1720
206,2016-07-25,1910
207,2016-07-26,1900
208,2016-07-27,1967
209,2016-07-28,1964
210,2016-07-29,2138
211,2016-07-30,1674
212,2016-07-31,1677
213,2016-08-01,2075
214,2016-08-02,2525
215,2016-08-03,2349
216,2016-08-04,2522
217,2016-08-05,2579
218,2016-08-06,1833
219,2016-08-07,1805
220,2016-08-08,179934
221,2016-08-09,564425
222,2016-08-10,357749
223,2016-08-11,257400
224,2016-08-12,174587
225,2016-08-13,142169
226,2016-08-14,94259
227,2016-08-15,71164
228,2016-08-16,54165
229,2016-08-17,44102
230,2016-08-18,38785
231,2016-08-19,36709
232,2016-08-20,29953
233,2016-08-21,31911
234,2016-08-22,33985
235,2016-08-23,26445
236,2016-08-24,21852
237,2016-08-25,20838
238,2016-08-26,23504
239,2016-08-27,16440
240,2016-08-28,16985
241,2016-08-29,18582
242,2016-08-30,14279
243,2016-08-31,13668
244,2016-09-01,12406
245,2016-09-02,9854
246,2016-09-03,11357
247,2016-09-04,10309
248,2016-09-05,9006
249,2016-09-06,8270
250,2016-09-07,7593
251,2016-09-08,8230
252,2016-09-09,8601
253,2016-09-10,7083
254,2016-09-11,6797
255,2016-09-12,5982
256,2016-09-13,5742
257,2016-09-14,6045
258,2016-09-15,5356
259,2016-09-16,4952
260,2016-09-17,5853
261,2016-09-18,5385
262,2016-09-19,4272
263,2016-09-20,4354
264,2016-09-21,3901
265,2016-09-22,3753
266,2016-09-23,4133
267,2016-09-24,4013
268,2016-09-25,5026
269,2016-09-26,4507
270,2016-09-27,3795
271,2016-09-28,4960
272,2016-09-29,4922
273,2016-09-30,3584
274,2016-10-01,3573
275,2016-10-02,4718
276,2016-10-03,3630
277,2016-10-04,3314
278,2016-10-05,3233
279,2016-10-06,3112
280,2016-10-07,3111
281,2016-10-08,2913
282,2016-10-09,2691
283,2016-10-10,2651
284,2016-10-11,2716
285,2016-10-12,3164
286,2016-10-13,2710
287,2016-10-14,2576
288,2016-10-15,2653
289,2016-10-16,2646
290,2016-10-17,2686
291,2016-10-18,2542
292,2016-10-19,2720
293,2016-10-20,2606
294,2016-10-21,2560
295,2016-10-22,2504
296,2016-10-23,2448
297,2016-10-24,2486
298,2016-10-25,2297
299,2016-10-26,2347
300,2016-10-27,2342
301,2016-10-28,2405
302,2016-10-29,2075
303,2016-10-30,2164
304,2016-10-31,2310
305,2016-11-01,2275
306,2016-11-02,2320
307,2016-11-03,2320
308,2016-11-04,2321
309,2016-11-05,2135
310,2016-11-06,2085
311,2016-11-07,2048
312,2016-11-08,2071
313,2016-11-09,2154
314,2016-11-10,1809
315,2016-11-11,1727
316,2016-11-12,1975
317,2016-11-13,1958
318,2016-11-14,2087
319,2016-11-15,2332
320,2016-11-16,2325
321,2016-11-17,2196
322,2016-11-18,2323
323,2016-11-19,2210
324,2016-11-20,2235
325,2016-11-21,2363
326,2016-11-22,2053
327,2016-11-23,2198
328,2016-11-24,1857
329,2016-11-25,1926
330,2016-11-26,1912
331,2016-11-27,1772
332,2016-11-28,1643
333,2016-11-29,1835
334,2016-11-30,1818
335,2016-12-01,1925
336,2016-12-02,1927
337,2016-12-03,1855
338,2016-12-04,1835
339,2016-12-05,1762
340,2016-12-06,1641
341,2016-12-07,1716
342,2016-12-08,1928
343,2016-12-09,2373
344,2016-12-10,2163
345,2016-12-11,2041
346,2016-12-12,1803
347,2016-12-13,1863
348,2016-12-14,1978
349,2016-12-15,2566
350,2016-12-16,2342
351,2016-12-17,2131
352,2016-12-18,2136
353,2016-12-19,2073
354,2016-12-20,2247
355,2016-12-21,2553
356,2016-12-22,2347
357,2016-12-23,2176
358,2016-12-24,2085
359,2016-12-25,2196
360,2016-12-26,2251
361,2016-12-27,2384
362,2016-12-28,2265
363,2016-12-29,2351
364,2016-12-30,2333
365,2016-12-31,3239
