羞耻play,Date,DecryptedData
144,2017-05-25,461
145,2017-05-26,597
146,2017-05-27,541
147,2017-05-28,737
148,2017-05-29,834
149,2017-05-30,735
150,2017-05-31,528
151,2017-06-01,550
152,2017-06-02,561
153,2017-06-03,656
154,2017-06-04,783
155,2017-06-05,601
156,2017-06-06,646
157,2017-06-07,634
158,2017-06-08,623
159,2017-06-09,558
160,2017-06-10,605
161,2017-06-11,722
162,2017-06-12,513
163,2017-06-13,519
164,2017-06-14,516
165,2017-06-15,517
166,2017-06-16,565
167,2017-06-17,699
168,2017-06-18,679
169,2017-06-19,582
170,2017-06-20,494
171,2017-06-21,572
172,2017-06-22,605
173,2017-06-23,572
174,2017-06-24,686
175,2017-06-25,621
176,2017-06-26,575
177,2017-06-27,551
178,2017-06-28,609
179,2017-06-29,628
180,2017-06-30,680
181,2017-07-01,749
182,2017-07-02,678
183,2017-07-03,679
184,2017-07-04,750
185,2017-07-05,737
186,2017-07-06,831
187,2017-07-07,788
188,2017-07-08,765
189,2017-07-09,861
190,2017-07-10,755
191,2017-07-11,803
192,2017-07-12,781
193,2017-07-13,753
194,2017-07-14,827
195,2017-07-15,747
196,2017-07-16,731
197,2017-07-17,789
198,2017-07-18,713
199,2017-07-19,705
200,2017-07-20,731
201,2017-07-21,696
202,2017-07-22,626
203,2017-07-23,679
204,2017-07-24,692
205,2017-07-25,755
206,2017-07-26,631
207,2017-07-27,703
208,2017-07-28,672
209,2017-07-29,667
210,2017-07-30,692
211,2017-07-31,650
212,2017-08-01,757
213,2017-08-02,670
214,2017-08-03,679
215,2017-08-04,652
216,2017-08-05,665
217,2017-08-06,693
218,2017-08-07,761
219,2017-08-08,715
220,2017-08-09,719
221,2017-08-10,750
222,2017-08-11,685
223,2017-08-12,721
224,2017-08-13,702
225,2017-08-14,736
226,2017-08-15,749
227,2017-08-16,806
228,2017-08-17,829
229,2017-08-18,845
230,2017-08-19,856
231,2017-08-20,857
232,2017-08-21,864
233,2017-08-22,777
234,2017-08-23,848
235,2017-08-24,764
236,2017-08-25,769
237,2017-08-26,741
238,2017-08-27,750
239,2017-08-28,703
240,2017-08-29,742
241,2017-08-30,696
242,2017-08-31,677
243,2017-09-01,546
244,2017-09-02,765
245,2017-09-03,747
246,2017-09-04,483
247,2017-09-05,457
248,2017-09-06,497
249,2017-09-07,457
250,2017-09-08,507
251,2017-09-09,682
252,2017-09-10,669
253,2017-09-11,403
254,2017-09-12,429
255,2017-09-13,453
256,2017-09-14,410
257,2017-09-15,459
258,2017-09-16,720
259,2017-09-17,677
260,2017-09-18,428
261,2017-09-19,467
262,2017-09-20,502
263,2017-09-21,467
264,2017-09-22,553
265,2017-09-23,751
266,2017-09-24,715
267,2017-09-25,460
268,2017-09-26,497
269,2017-09-27,477
270,2017-09-28,474
271,2017-09-29,475
272,2017-09-30,589
273,2017-10-01,753
274,2017-10-02,881
275,2017-10-03,862
276,2017-10-04,946
277,2017-10-05,851
278,2017-10-06,814
279,2017-10-07,828
280,2017-10-08,682
281,2017-10-09,405
282,2017-10-10,439
283,2017-10-11,451
284,2017-10-12,494
285,2017-10-13,464
286,2017-10-14,689
287,2017-10-15,712
288,2017-10-16,420
289,2017-10-17,435
290,2017-10-18,462
291,2017-10-19,427
292,2017-10-20,495
293,2017-10-21,771
294,2017-10-22,733
295,2017-10-23,444
296,2017-10-24,411
297,2017-10-25,478
298,2017-10-26,486
299,2017-10-27,514
300,2017-10-28,723
301,2017-10-29,716
302,2017-10-30,456
303,2017-10-31,447
304,2017-11-01,438
305,2017-11-02,482
306,2017-11-03,518
307,2017-11-04,701
308,2017-11-05,661
309,2017-11-06,489
310,2017-11-07,458
311,2017-11-08,402
312,2017-11-09,431
313,2017-11-10,473
314,2017-11-11,655
315,2017-11-12,647
316,2017-11-13,407
317,2017-11-14,414
318,2017-11-15,429
319,2017-11-16,447
320,2017-11-17,485
321,2017-11-18,622
322,2017-11-19,700
323,2017-11-20,429
324,2017-11-21,420
325,2017-11-22,421
326,2017-11-23,404
327,2017-11-24,450
328,2017-11-25,515
329,2017-11-26,462
330,2017-11-27,382
331,2017-11-28,394
332,2017-11-29,412
333,2017-11-30,389
334,2017-12-01,480
335,2017-12-02,551
336,2017-12-03,512
337,2017-12-04,372
338,2017-12-05,366
339,2017-12-06,372
340,2017-12-07,328
341,2017-12-08,377
342,2017-12-09,615
343,2017-12-10,635
344,2017-12-11,379
345,2017-12-12,382
346,2017-12-13,403
347,2017-12-14,398
348,2017-12-15,454
349,2017-12-16,637
350,2017-12-17,593
351,2017-12-18,400
352,2017-12-19,404
353,2017-12-20,384
354,2017-12-21,390
355,2017-12-22,448
356,2017-12-23,771
357,2017-12-24,548
358,2017-12-25,441
359,2017-12-26,427
360,2017-12-27,435
361,2017-12-28,448
362,2017-12-29,488
363,2017-12-30,685
364,2017-12-31,666
