怼,Date,DecryptedData
85,2017-03-27,8380
86,2017-03-28,8026
87,2017-03-29,6791
88,2017-03-30,6002
89,2017-03-31,7791
90,2017-04-01,6426
91,2017-04-02,5395
92,2017-04-03,4183
93,2017-04-04,6558
94,2017-04-05,5182
95,2017-04-06,7046
96,2017-04-07,12087
97,2017-04-08,7555
98,2017-04-09,6302
99,2017-04-10,6037
100,2017-04-11,5794
101,2017-04-12,6205
102,2017-04-13,7455
103,2017-04-14,6311
104,2017-04-15,4988
105,2017-04-16,4728
106,2017-04-17,4674
107,2017-04-18,5100
108,2017-04-19,4981
109,2017-04-20,5458
110,2017-04-21,5468
111,2017-04-22,4100
112,2017-04-23,4148
113,2017-04-24,6546
114,2017-04-25,5296
115,2017-04-26,5659
116,2017-04-27,5430
117,2017-04-28,5636
118,2017-04-29,4421
119,2017-04-30,5819
120,2017-05-01,5276
121,2017-05-02,5718
122,2017-05-03,5466
123,2017-05-04,5092
124,2017-05-05,5121
125,2017-05-06,4267
126,2017-05-07,4690
127,2017-05-08,5928
128,2017-05-09,5557
129,2017-05-10,4720
130,2017-05-11,5010
131,2017-05-12,5319
132,2017-05-13,4428
133,2017-05-14,3951
134,2017-05-15,5001
135,2017-05-16,5179
136,2017-05-17,4131
137,2017-05-18,4368
138,2017-05-19,4134
139,2017-05-20,3650
140,2017-05-21,4168
141,2017-05-22,5699
142,2017-05-23,6631
143,2017-05-24,6278
144,2017-05-25,7250
145,2017-05-26,7418
146,2017-05-27,6726
147,2017-05-28,4616
148,2017-05-29,4263
149,2017-05-30,4208
150,2017-05-31,5933
151,2017-06-01,7048
152,2017-06-02,7820
153,2017-06-03,6197
154,2017-06-04,9258
155,2017-06-05,9083
156,2017-06-06,6331
157,2017-06-07,6160
158,2017-06-08,5669
159,2017-06-09,6680
160,2017-06-10,5796
161,2017-06-11,5217
162,2017-06-12,5252
163,2017-06-13,5812
164,2017-06-14,6257
165,2017-06-15,5579
166,2017-06-16,7721
167,2017-06-17,5075
168,2017-06-18,4015
169,2017-06-19,5243
170,2017-06-20,6156
171,2017-06-21,5973
172,2017-06-22,5077
173,2017-06-23,4661
174,2017-06-24,4674
175,2017-06-25,4698
176,2017-06-26,5422
177,2017-06-27,5613
178,2017-06-28,5614
179,2017-06-29,5970
180,2017-06-30,5047
181,2017-07-01,4330
182,2017-07-02,4687
183,2017-07-03,5570
184,2017-07-04,5743
185,2017-07-05,6081
186,2017-07-06,5310
187,2017-07-07,5244
188,2017-07-08,4706
189,2017-07-09,4283
190,2017-07-10,4596
191,2017-07-11,4532
192,2017-07-12,4318
193,2017-07-13,4258
194,2017-07-14,4013
195,2017-07-15,4254
196,2017-07-16,3850
197,2017-07-17,4426
198,2017-07-18,4057
199,2017-07-19,4111
200,2017-07-20,4017
201,2017-07-21,4065
202,2017-07-22,9615
203,2017-07-23,5402
204,2017-07-24,4939
205,2017-07-25,4332
206,2017-07-26,4236
207,2017-07-27,3913
208,2017-07-28,3701
209,2017-07-29,3637
210,2017-07-30,3415
211,2017-07-31,4025
212,2017-08-01,4240
213,2017-08-02,4008
214,2017-08-03,4186
215,2017-08-04,3825
216,2017-08-05,3762
217,2017-08-06,4836
218,2017-08-07,4651
219,2017-08-08,4449
220,2017-08-09,5132
221,2017-08-10,6156
222,2017-08-11,6131
223,2017-08-12,5696
224,2017-08-13,5351
225,2017-08-14,7076
226,2017-08-15,5020
227,2017-08-16,5056
228,2017-08-17,4453
229,2017-08-18,4267
230,2017-08-19,4236
231,2017-08-20,3962
232,2017-08-21,3861
233,2017-08-22,3723
234,2017-08-23,3831
235,2017-08-24,6055
236,2017-08-25,4666
237,2017-08-26,3600
238,2017-08-27,3677
239,2017-08-28,3301
240,2017-08-29,3425
241,2017-08-30,4437
242,2017-08-31,3923
243,2017-09-01,3405
244,2017-09-02,3581
245,2017-09-03,3280
246,2017-09-04,3183
247,2017-09-05,3143
248,2017-09-06,2975
249,2017-09-07,3853
250,2017-09-08,3383
251,2017-09-09,3172
252,2017-09-10,3866
253,2017-09-11,3886
254,2017-09-12,3109
255,2017-09-13,3024
256,2017-09-14,3389
257,2017-09-15,3511
258,2017-09-16,2772
259,2017-09-17,2972
260,2017-09-18,3050
261,2017-09-19,3126
262,2017-09-20,2925
263,2017-09-21,2961
264,2017-09-22,3470
265,2017-09-23,3268
266,2017-09-24,2966
267,2017-09-25,3258
268,2017-09-26,3342
269,2017-09-27,4392
270,2017-09-28,2745
271,2017-09-29,2683
272,2017-09-30,2443
273,2017-10-01,1977
274,2017-10-02,2014
275,2017-10-03,1931
276,2017-10-04,2026
277,2017-10-05,2188
278,2017-10-06,2310
279,2017-10-07,2229
280,2017-10-08,2249
281,2017-10-09,2549
282,2017-10-10,2610
283,2017-10-11,2553
284,2017-10-12,3005
285,2017-10-13,2893
286,2017-10-14,2314
287,2017-10-15,2053
288,2017-10-16,2263
289,2017-10-17,2430
290,2017-10-18,2274
291,2017-10-19,2246
292,2017-10-20,2270
293,2017-10-21,1968
294,2017-10-22,2117
295,2017-10-23,2213
296,2017-10-24,2124
297,2017-10-25,2053
298,2017-10-26,1945
299,2017-10-27,2180
300,2017-10-28,1842
301,2017-10-29,3154
302,2017-10-30,2585
303,2017-10-31,2401
304,2017-11-01,2565
305,2017-11-02,2593
306,2017-11-03,2392
307,2017-11-04,1882
308,2017-11-05,2028
309,2017-11-06,2090
310,2017-11-07,2213
311,2017-11-08,2155
312,2017-11-09,2548
313,2017-11-10,2316
314,2017-11-11,1670
315,2017-11-12,1891
316,2017-11-13,2345
317,2017-11-14,2330
318,2017-11-15,2233
319,2017-11-16,2074
320,2017-11-17,2003
321,2017-11-18,1936
322,2017-11-19,2105
323,2017-11-20,2215
324,2017-11-21,2277
325,2017-11-22,2295
326,2017-11-23,2126
327,2017-11-24,1891
328,2017-11-25,1643
329,2017-11-26,1534
330,2017-11-27,1915
331,2017-11-28,1983
332,2017-11-29,2005
333,2017-11-30,2238
334,2017-12-01,2149
335,2017-12-02,1868
336,2017-12-03,1836
337,2017-12-04,2353
338,2017-12-05,2665
339,2017-12-06,2693
340,2017-12-07,2413
341,2017-12-08,2552
342,2017-12-09,2252
343,2017-12-10,2529
344,2017-12-11,2693
345,2017-12-12,2349
346,2017-12-13,2656
347,2017-12-14,2545
348,2017-12-15,2473
349,2017-12-16,2013
350,2017-12-17,2058
351,2017-12-18,2194
352,2017-12-19,2205
353,2017-12-20,2463
354,2017-12-21,2680
355,2017-12-22,2607
356,2017-12-23,1913
357,2017-12-24,1948
358,2017-12-25,2407
359,2017-12-26,2308
360,2017-12-27,2450
361,2017-12-28,2437
362,2017-12-29,2350
363,2017-12-30,2010
364,2017-12-31,2100
