你懂的,Date,DecryptedData
300,2018-10-28,3913
301,2018-10-29,3116
302,2018-10-30,3094
303,2018-10-31,3023
304,2018-11-01,3111
305,2018-11-02,2931
306,2018-11-03,3108
307,2018-11-04,3090
308,2018-11-05,2807
309,2018-11-06,2748
310,2018-11-07,2762
311,2018-11-08,2754
312,2018-11-09,2905
313,2018-11-10,3258
314,2018-11-11,3194
315,2018-11-12,2593
316,2018-11-13,2784
317,2018-11-14,2887
318,2018-11-15,2937
319,2018-11-16,2985
320,2018-11-17,3449
321,2018-11-18,3320
322,2018-11-19,2621
323,2018-11-20,2778
324,2018-11-21,2758
325,2018-11-22,2721
326,2018-11-23,2776
327,2018-11-24,3094
328,2018-11-25,2957
329,2018-11-26,2624
330,2018-11-27,2695
331,2018-11-28,2683
332,2018-11-29,2745
333,2018-11-30,2923
334,2018-12-01,3342
335,2018-12-02,3178
336,2018-12-03,2603
337,2018-12-04,2561
338,2018-12-05,2712
339,2018-12-06,2655
340,2018-12-07,2520
341,2018-12-08,2864
342,2018-12-09,2885
343,2018-12-10,2369
344,2018-12-11,2513
345,2018-12-12,2556
346,2018-12-13,2623
347,2018-12-14,2833
348,2018-12-15,3415
349,2018-12-16,3263
350,2018-12-17,2815
351,2018-12-18,2969
352,2018-12-19,3148
353,2018-12-20,3406
354,2018-12-21,3335
355,2018-12-22,3824
356,2018-12-23,3650
357,2018-12-24,3064
358,2018-12-25,3129
359,2018-12-26,3118
360,2018-12-27,3205
361,2018-12-28,3058
362,2018-12-29,3138
363,2018-12-30,3547
364,2018-12-31,3374
