创客,Date,DecryptedData
143,2015-05-24,1914
144,2015-05-25,2517
145,2015-05-26,2354
146,2015-05-27,2380
147,2015-05-28,2315
148,2015-05-29,2104
149,2015-05-30,1893
150,2015-05-31,1932
151,2015-06-01,2203
152,2015-06-02,2217
153,2015-06-03,2331
154,2015-06-04,2427
155,2015-06-05,2324
156,2015-06-06,2007
157,2015-06-07,2025
158,2015-06-08,2529
159,2015-06-09,2441
160,2015-06-10,2262
161,2015-06-11,2280
162,2015-06-12,2105
163,2015-06-13,1867
164,2015-06-14,1957
165,2015-06-15,2295
166,2015-06-16,2393
167,2015-06-17,2359
168,2015-06-18,2591
169,2015-06-19,2755
170,2015-06-20,2032
171,2015-06-21,2174
172,2015-06-22,2086
173,2015-06-23,2527
174,2015-06-24,2404
175,2015-06-25,2262
176,2015-06-26,2120
177,2015-06-27,1918
178,2015-06-28,1870
179,2015-06-29,2361
180,2015-06-30,2244
181,2015-07-01,2286
182,2015-07-02,2375
183,2015-07-03,2172
184,2015-07-04,1842
185,2015-07-05,1879
186,2015-07-06,2209
187,2015-07-07,2136
188,2015-07-08,2079
189,2015-07-09,2076
190,2015-07-10,1922
191,2015-07-11,1750
192,2015-07-12,1759
193,2015-07-13,1981
194,2015-07-14,2060
195,2015-07-15,1970
196,2015-07-16,1986
197,2015-07-17,1899
198,2015-07-18,1736
199,2015-07-19,1781
200,2015-07-20,1958
201,2015-07-21,1957
202,2015-07-22,1941
203,2015-07-23,2009
204,2015-07-24,1932
205,2015-07-25,1743
206,2015-07-26,1761
207,2015-07-27,2659
208,2015-07-28,2518
209,2015-07-29,2198
210,2015-07-30,2251
211,2015-07-31,1928
212,2015-08-01,1854
213,2015-08-02,2242
214,2015-08-03,3990
215,2015-08-04,3184
216,2015-08-05,3021
217,2015-08-06,2944
218,2015-08-07,2163
219,2015-08-08,2053
220,2015-08-09,2588
221,2015-08-10,2324
222,2015-08-11,2138
223,2015-08-12,2162
224,2015-08-13,1981
225,2015-08-14,1916
226,2015-08-15,1758
227,2015-08-16,1774
228,2015-08-17,2015
229,2015-08-18,1960
230,2015-08-19,1962
231,2015-08-20,1842
232,2015-08-21,1836
233,2015-08-22,1709
234,2015-08-23,1738
235,2015-08-24,2229
236,2015-08-25,1975
237,2015-08-26,2048
238,2015-08-27,1889
239,2015-08-28,1855
240,2015-08-29,1719
241,2015-08-30,1728
242,2015-08-31,1886
243,2015-09-01,1977
244,2015-09-02,1846
245,2015-09-03,1286
246,2015-09-04,1541
247,2015-09-05,1563
248,2015-09-06,1857
249,2015-09-07,1999
250,2015-09-08,2073
251,2015-09-09,2007
252,2015-09-10,2044
253,2015-09-11,2102
254,2015-09-12,1772
255,2015-09-13,1756
256,2015-09-14,2131
257,2015-09-15,2542
258,2015-09-16,1999
259,2015-09-17,2035
260,2015-09-18,2078
261,2015-09-19,1766
262,2015-09-20,1747
263,2015-09-21,1882
264,2015-09-22,1904
265,2015-09-23,1897
266,2015-09-24,1935
267,2015-09-25,2109
268,2015-09-26,1554
269,2015-09-27,1356
270,2015-09-28,1884
271,2015-09-29,1814
272,2015-09-30,1784
273,2015-10-01,1332
274,2015-10-02,1123
275,2015-10-03,1250
276,2015-10-04,1436
277,2015-10-05,1573
278,2015-10-06,1671
279,2015-10-07,1701
280,2015-10-08,1846
281,2015-10-09,1853
282,2015-10-10,1865
283,2015-10-11,1745
284,2015-10-12,1930
285,2015-10-13,1946
286,2015-10-14,1968
287,2015-10-15,2125
288,2015-10-16,1875
289,2015-10-17,1787
290,2015-10-18,1796
291,2015-10-19,2022
292,2015-10-20,2082
293,2015-10-21,2062
294,2015-10-22,1959
295,2015-10-23,1929
296,2015-10-24,1859
297,2015-10-25,1868
298,2015-10-26,2114
299,2015-10-27,2088
300,2015-10-28,2056
301,2015-10-29,1923
302,2015-10-30,1856
303,2015-10-31,1641
304,2015-11-01,1692
305,2015-11-02,1872
306,2015-11-03,1946
307,2015-11-04,1947
308,2015-11-05,1914
309,2015-11-06,1901
310,2015-11-07,1818
311,2015-11-08,1906
312,2015-11-09,2012
313,2015-11-10,1996
314,2015-11-11,1863
315,2015-11-12,1967
316,2015-11-13,1935
317,2015-11-14,1777
318,2015-11-15,1816
319,2015-11-16,1933
320,2015-11-17,2073
321,2015-11-18,2067
322,2015-11-19,1927
323,2015-11-20,1877
324,2015-11-21,1759
325,2015-11-22,1756
326,2015-11-23,1922
327,2015-11-24,1946
328,2015-11-25,1889
329,2015-11-26,1852
330,2015-11-27,1819
331,2015-11-28,1749
332,2015-11-29,1676
333,2015-11-30,1878
334,2015-12-01,1872
335,2015-12-02,1955
336,2015-12-03,2003
337,2015-12-04,2122
338,2015-12-05,1839
339,2015-12-06,1781
340,2015-12-07,1930
341,2015-12-08,1997
342,2015-12-09,1983
343,2015-12-10,1942
344,2015-12-11,1900
345,2015-12-12,1783
346,2015-12-13,1819
347,2015-12-14,1969
348,2015-12-15,2017
349,2015-12-16,2842
350,2015-12-17,2357
351,2015-12-18,2057
352,2015-12-19,1823
353,2015-12-20,1824
354,2015-12-21,1947
355,2015-12-22,1909
356,2015-12-23,1908
357,2015-12-24,1852
358,2015-12-25,1844
359,2015-12-26,1797
360,2015-12-27,1743
361,2015-12-28,1873
362,2015-12-29,1905
363,2015-12-30,1882
364,2015-12-31,1774
